id,dimension,text,rater_one,rater_two,rater_three,average_score
AU01.000968,d1_illness_beliefs,"Ich kann Ihren Frust gut verstehen. Man muss ständig so viel wiederholen und es auch schon so vielen Menschen erzählen. Können Sie sich vorstellen, warum Sie das so frustriert, dass Sie es nochmal erklären müssen?",1,4,2,2.333
AU01.000969,d1_illness_beliefs,"Wenn ich mich so in ihre Lage versetze, kann ich mir vorstellen, dass es auch relativ anstrengend ist, immer und immer wieder mehr ins Detail zu gehen und noch mehr zu erzählen. Allerdings bin ich nur die Spezialistin, die das Fachwissen hat. Sie sind der Spezialist von Ihnen und nur Sie können bestimmte Fragen über Sie beantworten.",2,2,2,2.0
AU01.001015,d1_illness_beliefs,"Ja, genau, das stimmt. Ich bin schon der Spezialist. Nur ist es so, dass ich einfach ein paar mehr Informationen von Ihnen brauche, weil es einfach eben sehr viele verschiedene Krankheiten und verschiedene Krankheitsbilder gibt und um Ihnen da einfach bestmöglich helfen zu können. Es ist einfach sehr wichtig, dass ich genug Informationen kriege, damit wir dann daraus irgendwie zusammenschauen können, was wir vielleicht für eine Krankheit haben und wo wir dann dann am besten ansetzen, um zu schauen, dass es Ihnen so schnell wie möglich auch wieder besser geht.",2,2,2,2.0
AU01.001017,d1_illness_beliefs,"Genau. Also sagen, ich bin Experte, aber natürlich kann ich nicht ganz einfach in sie reinschauen. Und was bei mir auf jeden Fall einkommt, dass sie krank sind und dass sie da auf jeden Fall drunter auch ganz klar leiden. Und ich glaube aber, dass ich einfach noch ein paar mehr Informationen von ihnen bräuchte, damit wir zusammen rausfinden können bzw. damit ich einfach schauen kann, okay, welche Form von Krankheit ist es, die sie da haben? Und damit ich dann eben auch schauen kann, was wäre die beste Herangehensweise, damit ich ihnen auch wirklich irgendwie so gut es geht helfen kann und unterstützen kann. Und einfach um noch dafür ein paar mehr Informationen zu kriegen, würde ich ihnen gerne einfach noch ein paar mehr Fragen dazustellen.",2,2,2,2.0
AU01.001067,d1_illness_beliefs,"Ja, ich verstehe, dass Sie ein bisschen genervt sind davon, dass ich so neugierig nachfrage und ich scheinbar auch nicht gut erklärt habe, weshalb ich eigentlich diese ganzen Fragen stelle. Mir ist es total wichtig, dass ich genau verstehe, worum es bei Ihnen geht. Zum einen habe ich natürlich Wissen über bestimmte psychische Störungen, die unterscheiden sich aber von Person zu Person. Mir ist es total wichtig, wie genau Ihr Problem eigentlich aussieht und beziehungsweise auch, wie Sie das bisher verstehen, weil ich gerne erreichen würde, dass wir zusammen ein gemeinsames Verständnis hätten. Also vielleicht, wenn das für Sie in Ordnung ist, könnten Sie noch einmal mir erklären, wie Sie sagen würden, was eigentlich mit Ihnen los ist.",4,3,3,3.333
AU01.001068,d1_illness_beliefs,"Okay, ich merke, dass Sie irritiert sind durch das, was ich gerade gesagt habe, weil Sie, glaube ich, den Eindruck hatten, ich würde Ihnen da was einreden wollen zu dieser Beziehung. Vielleicht können Sie mir noch mal genauer schildern, was das so besonders belastend macht, also was dieses Gefühl von Einsamkeit besonders belastend macht.",3,4,3,3.333
AU01.001069,d1_illness_beliefs,"Okay, das heißt, Sie haben so diesen klaren zeitlichen Zusammenhang für sich gefunden, dass der Kontaktabbruch zu der Familie zu tun hat, damit dass es Ihnen so deutlich schlechter geht. Vielleicht können wir da nochmal genauer drauf eingehen. Was ist so Ihre Idee? Wie genau hat denn, was genau ist dann passiert mit Ihnen nach dem Kontaktabbruch, sodass Sie dann jetzt diese Symptome haben?",3,4,4,3.667
AU01.001103,d1_illness_beliefs,"Also ich verstehe, dass Sie meinen, dass Menschen Ihnen bei Ihren Problemen jetzt nicht helfen können, sondern dass Hilfe von Gott kommt oder kommen sollte. Ist das schon immer so bei Ihnen gewesen oder gab es einen bestimmten Zeitpunkt in Ihrem Leben, wo Sie beschlossen haben, sich nur noch auf Gott zu verlassen?",1,4,2,2.333
AU01.001104,d1_illness_beliefs,"Also seit ihrer Trennung von der Familie mehren sich einfach die Anzeichen, dass sie gesundheitliche Probleme haben, Probleme im beruflichen Umfeld und würden dieser Sache gern durch mich auf den Grund gehen. In der Zusammenarbeit habe ich das richtig zusammengefasst? Ja.",3,3,2,2.667
AU01.001105,d1_illness_beliefs,"Das heißt, die Einsamkeit empfinden Sie als belastender als die Situation, als Sie noch in der Beziehung selber gewesen sind. War das auch so zu dem Zeitpunkt, als die Trennung stattgefunden hat?",1,3,2,2.0
AU01.001120,d1_illness_beliefs,"Bisher habe ich noch nicht so viel von Ihnen dazu gehört, was es genau für Sie heißt, dass Sie krank sind. Um das besser verstehen zu können, erzählen Sie mir doch bitte gerne noch etwas genauer, was es für Sie heißt, krank zu sein.",2,3,3,2.667
AU01.001121,d1_illness_beliefs,"Ich verstehe gut, dass sie das sehr beschäftigt, dass sie ihre Eltern ohne Geld zurückgelassen haben, aber ich glaube auch, dass es für ihre Eltern sehr wichtig war, das Geld aufzubringen, damit sie flüchten und sich ein neues Leben aufbauen können, ein besseres Leben als das, was sie in ihrem Herkunftsland gehabt haben.",1,2,1,1.333
AU01.001122,d1_illness_beliefs,"Ich möchte gerne versuchen, Sie dabei zu unterstützen, Ihre Panikattacken loszuwerden. Dafür ist es aber wichtig, dass wir beide besser verstehen, wann diese Panikattacken auftreten und welche Gedanken Sie in diesen Momenten haben.",2,2,2,2.0
AU01.001130,d1_illness_beliefs,"Ich verstehe, dass Sie Zweifel gegenüber der Psychotherapie haben. Das ist ja auch erstmal eine ganz neue Situation für Sie und es ist bestimmt sehr, sehr ungewohnt jetzt für Sie hier zu sein. Was meinen Sie denn genau mit Strafe? Wofür möchte Sie Gott bestrafen?",2,4,3,3.0
AU01.001132,d1_illness_beliefs,"Ich verstehe, dass es Ihnen schwerfällt, über Ihr Problem zu sprechen. Trotzdem ist es für mich ganz ganz wichtig, Sie ganz genau in Ihrer Thematik zu verstehen, damit ich Ihnen auch helfen kann und damit wir gemeinsam daran arbeiten können.",2,2,2,2.0
AU01.001133,d1_illness_beliefs,"Das klingt für mich nach ziemlich belastenden Gedanken und ich kann verstehen, dass sie das von Schlafen abhält. Haben sie Schuldgefühle gegenüber ihren Eltern?",1,1,0,0.667
AU01.001159,d1_illness_beliefs,"Mich würde interessieren, was sie genau unter Panikattacken verstehen.",1,1,1,1.0
AU01.001160,d1_illness_beliefs,"Das klingt, als hätten sie eine sehr große Skepsis der Psychotherapie gegenüber. Was sind denn genau ihre Befürchtungen?",0,2,3,1.667
AU01.001200,d1_illness_beliefs,"Ich habe verstanden, dass die Einsamkeit sich für Sie gerade belastender anfühlt, als es die Beziehung war. Möchten Sie mir vielleicht trotzdem erzählen, was das Toxische an der Beziehung war?",2,1,0,1.0
AU01.001201,d1_illness_beliefs,"Genau, sie sind zu mir gekommen, um Unterstützung zu erhalten und damit ich ihnen gut helfen kann, ist es wichtig, dass ich ihre Situation möglichst genau verstehe. Und da ich nicht in sie reingucken kann, bin ich da einfach darauf angewiesen, dass sie mir das noch mal ein bisschen erläutern, bitte.",3,2,2,2.333
AU01.001202,d1_illness_beliefs,"Sie glauben, es gibt einen Zusammenhang zwischen dem Kontaktabbruch und den Belastungen, die Sie jetzt auf Arbeit und in der Partnerschaft erleben. Können Sie mir erklären, wie Sie sich diesen Zusammenhang vorstellen?",4,4,4,4.0
AU01.001245,d1_illness_beliefs,"Wie meinen sie das? Das kann kein Zufall sein. Das klingt, als hätten sie eine Theorie dazu.",1,3,2,2.0
AU01.001246,d1_illness_beliefs,"Möchten Sie mir mehr über Ihre Beziehung zu Gott erzählen oder was es für Sie bedeutet, Ihr Bezug zum Glauben zu Gott?",0,2,1,1.0
AU01.001247,d1_illness_beliefs,"Erzählen Sie mir ein bisschen mehr darüber, was Sie erleben, wenn Sie so einsam sind. Wie geht es Ihnen dann?",1,1,1,1.0
AU01.001270,d1_illness_beliefs,"Ich verstehe, dass es Ihnen ganz wichtig ist, für Ihre Familie da zu sein und dass das ganz wichtig ist. Und vielleicht höre ich da auch ein bisschen raus, dass Sie Angst oder Sorge haben, dass das nicht mehr möglich sein wird, wenn Sie bei mir in Therapie sind. Und da bin ich mir ganz sicher, dass wir gemeinsam einen Weg finden, der Ihnen helfen kann, für Ihre Familie weiterhin da zu sein und trotzdem auch für sich zu sorgen. Weil Sie ja auch gesagt haben, Sie brauchen oder Sie wünschen sich Unterstützung, um mit den Panikattacken zurechtzukommen. Und da würde mich noch interessieren, was Ihre Idee davon ist, wie diese Panikattacken, warum diese Panikattacken da sind. Und vielleicht auch, was Sie sich vorstellen, was Ihnen dabei helfen könnte, mit den Panikattacken zurechtzukommen.",3,4,2,3.0
AU01.001271,d1_illness_beliefs,"Da fühlen sie sich von mir nicht gut verstanden oder nicht verstanden vielleicht überhaupt, dass ich das Problem gar nicht richtig erfasst habe. Und das ist ja vielleicht eine Situation, die ihnen auch mit anderen Menschen begegnet, ein Gefühl, das ihnen mit anderen Menschen begegnet, im Kontakt, wenn sie über ihre Beziehung berichten oder auch über andere Situationen berichten. Wenn sie das so hören, haben sie das Gefühl, das ist ein Gefühl, das sie kennen.",2,2,2,2.0
AU01.001272,d1_illness_beliefs,"Da wünschen Sie sich einer Person, die Ihnen sagt, worunter Sie leiden und was das Schwierige an der aktuellen Situation ist. Und vielleicht ist das auch was, was für Sie sehr schwierig war in den letzten Wochen und vielleicht auch Monaten, dass Sie das Gefühl haben, niemand kann Ihnen sagen, worunter Sie leiden bzw. vor allem was Sie tun können, damit die Situation besser wird. Und das ist wahnsinnig schwierig, so eine Situation mit einer so großen Unsicherheit, das kann ich gut nachvollziehen. Gleichzeitig ist es für mich ganz wichtig zu wissen, wie Ihre genaue Situation ist, weil jeder Mensch ist ein bisschen unterschiedlich und deswegen ist es ganz wichtig, dass wir zusammen herausfinden und stöbern, wie es Ihnen geht und wie es vielleicht zu der Situation kam, wie es hier jetzt aktuell ist. Deswegen möchte ich nochmal fragen, was Sie selbst denken, warum es Ihnen jetzt so geht, wie es Ihnen geht.",3,4,4,3.667
AU01.001299,d1_illness_beliefs,"Ich kann gut verstehen, dass sie etwas skeptisch sind. Ich meine, sie kennen mich ja auch noch gar nicht. Gleichzeitig bin ich mir es gewöhnt, mit Menschen zu arbeiten, die ähnliche Schwierigkeiten haben, wie sie. Wenn sie wollen, können wir auch einfach mal zusammen schauen, wohin das führt.",2,2,2,2.0
AU01.001300,d1_illness_beliefs,"Ich kann sehr gut verstehen, dass Sie diese Gedanken vom Schlaf abhalten. Sie befinden sich auch in einer sehr schwierigen Situation. Haben Sie Interesse daran zusammenzuschauen, was Ihnen vielleicht helfen könnte, damit Sie manchmal etwas zur Ruhe kommen können?",3,3,2,2.667
AU01.001301,d1_illness_beliefs,"Ich sehe, dass es ihnen wirklich nicht gut geht. Gleichzeitig ist es mir ganz wichtig, sie richtig und richtig zu verstehen. Und deswegen wäre ich froh, wenn sie mir noch einmal erklären, was genau sie beschäftigt.",2,2,3,2.333
AU01.001316,d1_illness_beliefs,"Damit haben Sie natürlich recht, es ist meine Aufgabe zu versuchen, Ihnen zu helfen, dass es Ihnen wieder etwas besser geht, aber das können wir nur gemeinsam schaffen. Ich brauche da auch auf jeden Fall Ihre Unterstützung.",2,2,2,2.0
AU01.001317,d1_illness_beliefs,"Sie haben mir in den letzten Minuten geschildert, wie schlecht es Ihnen in den letzten Wochen gegangen ist und wie belastet Sie sind. Und vielleicht kann nur Gott Ihnen die Krankheit nehmen, aber vielleicht kann ich Ihnen ja auch dabei helfen, dass es Ihnen jetzt in dem Moment, in den nächsten Tagen auch wieder etwas besser geht, etwas weniger schlecht geht.",2,2,2,2.0
AU01.001318,d1_illness_beliefs,"Sie haben Recht, es klingt, als wäre das sehr plausibel anzunehmen, dass es da eine Verbindung gibt. Ich gehe davon aus, dass es ganz viele Faktoren gibt, die bestimmen, wie wir uns fühlen und wie sich unser Alltag anfühlt. Das ist also ein Aspekt davon. Wir können in der nächsten Zeit noch versuchen herauszufinden, ob es noch weitere Aspekte gibt, die Sie aktuell belasten.",3,2,2,2.333
AU01.001332,d1_illness_beliefs,"Ich verstehe, sie tragen sehr viel Verantwortung und würden sich wünschen, dass ihnen jemand eine schnelle Hilfe geben kann, damit sie weiter funktionieren können. Unglücklicherweise gibt es diese schnelle Hilfe nicht, sondern wir müssen schon uns auch mit den Hintergründen ihrer Panikattacke beschäftigen.",2,2,2,2.0
AU01.001333,d1_illness_beliefs,"Das stelle ich mir sehr schwierig vor, wenn man den Kontakt zu seiner Familie abbricht. Wie ging es Ihnen denn emotional damit? Und vielleicht möchten Sie mir das erklären, wie Sie den Zusammenhang ziehen zwischen dem Kontaktabbruch und der Verschlechterung Ihres gesundheitlichen Zustandes.",4,3,3,3.333
AU01.001334,d1_illness_beliefs,"Sie haben recht, ich bin Psychotherapeutin und kenne mich mit seelischen Erkrankungen gut aus. Allerdings kann ich nicht in Ihren Kopf hineingucken und deswegen muss ich mit Ihnen reden und von Ihnen erfahren als Experte für Ihr eigenes Leben, wie es Ihnen geht, was Sie fühlen, was Sie denken.",2,2,2,2.0
AU01.001375,d1_illness_beliefs,Was empfinden Sie so schwierig an der Einsamkeit?,0,1,0,0.333
AU01.001376,d1_illness_beliefs,"Na dann sagen sie mir doch mal bitte, warum sie sich krank fühlen.",1,0,2,1.0
AU01.001377,d1_illness_beliefs,Haben Sie noch Kontakt zu Ihren Eltern?,0,0,0,0.0
AU01.001421,d1_illness_beliefs,"Sie haben den Eindruck, Sie können sich da gar nicht alleine rausholen, gell? Sie brauchen Unterstützung von außen.",1,1,1,1.0
AU01.001422,d1_illness_beliefs,"Das stimmt, ich kann einordnen, welche Beschwerden Sie haben, aber wenn Sie zum Beispiel zum Arzt gehen, dann fragt er ja auch, tut es Ihnen weh, wenn ich hier drauf drücke, oder haben Sie Schmerzen, wenn ich da drücke. Und genauso läuft es hier auch, dass ich verschiedene Fragen stellen muss, damit ich Sie besser verstehen kann, damit ich Ihnen am Ende helfen kann.",2,2,2,2.0
AU01.001423,d1_illness_beliefs,"Das stimmt, ich bin die Expertin. Ich weiß, wie die Krankheiten heißen, ich weiß, wie man sie behandeln kann, aber damit ich weiß, wo genau es ihnen weh tut sozusagen, wo genau sie Beschwerden haben, brauche ich ihre Hilfe. Wir müssen uns das gemeinsam anschauen, damit ich am Ende ihnen bestmöglich hilfreich sein kann.",3,2,2,2.333
AU01.001440,d1_illness_beliefs,"Da sind Sie gerade aktuell ganz schön belastet. Sie haben starke Schuldgefühle Ihren Eltern gegenüber und wenn ich das richtig verstanden habe, fragen Sie sich, ob Ihre eigene Schuld so groß ist, dass Gott Sie dafür bestrafen möchte.",2,3,3,2.667
AU01.001441,d1_illness_beliefs,"Da haben Sie aktuell ja in einigen Lebensbereichen Probleme angesprochen oder erleben, einige Bereiche schwierig und das hängt für Sie damit zusammen, dass Sie keinen Kontakt mehr zur Familie haben und vielleicht dort der Halt weggebrochen ist und dann krieselt es auch in anderen Bereichen, habe ich das richtig verstanden?",2,3,3,2.667
AU01.001442,d1_illness_beliefs,"Ja, da sind sie gerade ganz schön allein mit ihrer Krankheit und ich habe verstanden, dass sie auch Sorge haben, dass sie als verrückt angesehen werden, weil sie jetzt zu so jemanden wie mir gehen sollen, eine Psychotherapeutin. Mich würde interessieren, welche Beschwerden sie denn genau haben und was sie da in ihrem Alltag alles tragen mit ihrer Krankheit.",2,2,2,2.0
AU01.001469,d1_illness_beliefs,"Sie denken also, dass der Kontaktabbruch eventuell zu den Symptomen geführt haben könnte. Dies müssten wir noch weiter erforschen, da ja die Zeit auch schon sehr lange hin ist.",2,2,2,2.0
AU01.001470,d1_illness_beliefs,"Sie möchten erfahren, wie es zu diesen Panikattacken kommt und möchten davon befreit werden. Aber dazu ist es sehr wichtig, dass wir gemeinsam versuchen, mehr Informationen zu bekommen, woran diese Panikattacken sich entstehen lassen. Und dafür ist es auch sehr wichtig, halt auch über ihre Gedankenwelt mehr zu erfahren gemeinsam.",3,2,2,2.333
AU01.001471,d1_illness_beliefs,"Sie fühlen sich also schuldig, dass die Eltern ihnen so viel Geld für die Flucht ausgegeben haben, aber wichtig ist auch zu schauen, wie diese Schuld genau sich darstellt, auch im Rahmen ihres religiösen Bezugssystems, dass sie das vielleicht auch als Strafe Gottes empfinden. Das was ihnen dann alles Negatives wiederfahren ist in ihr Heimatland und auf ihre Flucht hinaus, das müssen wir weiter mal genauer anschauen.",3,3,3,3.0
AU01.001486,d1_illness_beliefs,"Sie haben etwas leise gesprochen. Ich hoffe, dass ich es richtig verstanden habe. Ich versuche es auch mal nochmal zusammenzufassen. Ich habe verstanden, dass Sie sich einsam fühlen und dass Sie in einer Beziehung sind, die Ihnen nicht gut tut, aber dass Sie schon Angst haben, vielleicht etwas an der Beziehungssituation zu verändern, weil die Einsamkeit dann so groß wäre. Vielen Dank für's Zuhören!",2,2,2,2.0
AU01.001487,d1_illness_beliefs,"Ja, Sie haben recht. Sie sind hier zu mir gekommen, um mit einer Expertin zu sprechen, die Ihnen helfen kann. Und am besten kann ich helfen, wenn ich noch etwas mehr über Ihre Krankheit weiß. Ja, vielleicht können Sie mir noch zwei, drei Sätze dazu sagen.",3,2,2,2.333
AU01.001488,d1_illness_beliefs,"Genau, also ich verstehe, dass sie Hilfe wollen und möglichst schnell, ohne viel darüber zu sprechen, weil sie ja denken, dass ich schon wissen kann, was in ihnen vorgeht, aber ich kann leider nicht so hineinschauen und es ist sicherlich für sie seltsam, darüber zu sprechen, aber versuchen sie es mal.",2,2,2,2.0
AU01.001513,d1_illness_beliefs,"Das hört sich nach einer gar nicht so leichten Situation an, mit ganz schön viel Druck im Hintergrund. Und Sie haben die Vorstellung, dass da nicht helfen kann, dass man nur in Gedanken etwas verändert.",2,1,2,1.667
AU01.001514,d1_illness_beliefs,"Ja, deswegen sind sie auch hierher gekommen. Verstehe ich, dass sie den Wunsch haben, dass das alles von mir beantwortet wird. Leider ist es so, dass ich noch zusätzlich ihre Hilfe benötige, um herauszufinden, was da genau los ist und wie meine Hilfe am besten aussehen könnte.",2,2,2,2.0
AU01.001515,d1_illness_beliefs,"Ich kann mir vorstellen, dass Sie jetzt sich einsam und traurig fühlen vor dem Hintergrund der Trennung und Sie sind jetzt hier, damit wir gemeinsam gucken können, wie kann es von hier aus weitergehen.",2,2,2,2.0
AU01.001536,d1_illness_beliefs,"Ja, das will ich auch besser verstehen.",0,0,1,0.333
AU01.001537,d1_illness_beliefs,"Gott kann ihnen die Kraft geben, ihre Krankheit zu lindern und zu heilen. Gott ist ja ein heilender Gott.",0,2,1,1.0
AU01.001538,d1_illness_beliefs,"Sie haben viel in ihre neue Welt gesteckt, auch ihre Eltern wollten, dass es ihnen jetzt besser geht und jetzt müssen sie selbst auch daran arbeiten, dass es ihnen wieder besser geht. Und vielleicht können ihre Eltern dann zufrieden sein, wenn sie ihnen dann schreiben, wie gut es war zu gehen.",1,0,1,0.667
AU01.001571,d1_illness_beliefs,"Ich versuche zu verstehen, dass sie sich jetzt schlechter fühlen als vorher, obwohl es in dieser Beziehung so schwierig war, dass jetzt die Einsamkeit für sie schwer auszuhalten ist.",2,1,1,1.333
AU01.001572,d1_illness_beliefs,"Also diese Krankheit nehmen kann ich ihnen auch nicht, aber wir können ja schauen, ob wir gemeinsam was finden können, damit es ihnen besser geht und überhaupt schauen, wenn sie schon mal da sind, was wir denn tun können in dieser Situation.",2,2,1,1.667
AU01.001573,d1_illness_beliefs,"Es tut mir sehr leid für sie, dass seit dem Abbruch des Kontakts zu ihrer Familie sie das so empfinden, dass da vieles schwierig geworden ist für sie. Ziemlich viel Stress. Wir können ja gemeinsam schauen, ob wir ihnen da helfen können und wie das alles gekommen ist.",3,2,2,2.333
AU01.001675,d1_illness_beliefs,"Ich kann mir gut vorstellen, dass es für Sie schwierig war, den Kontakt zu Ihrer Familie abzusprechen und dass es Sie belastet. Wollen Sie mir vielleicht ein bisschen mehr noch darüber erzählen, wie es denn zu dem Kontaktabbruch kam?",2,2,3,2.333
AU01.001678,d1_illness_beliefs,"Es klingt für mich ein bisschen so, als wären sie getäuscht oder hätten sie keine guten Hoffnungen für die Therapie. Vielleicht können wir uns gemeinsam mal anschauen, warum sie denn so denken oder warum sie das Gefühl haben, dass das eben so ist.",3,2,2,2.333
AU01.001680,d1_illness_beliefs,"Klingt für mich so, als würden sie sich sehr viel um andere Menschen kümmern und für andere Menschen da sein und da kommt bei mir ein bisschen die Frage auf, wer kümmert sich eigentlich um sie und vielleicht könnte ich ja die Person sein, die sie vielleicht einfach ein bisschen unterstützen kann.",1,2,2,1.667
AU01.001695,d1_illness_beliefs,"Ich habe verstanden, dass Sie sich jetzt einsamer fühlen und dass sich das für Sie schlimmer anfühlt, als in dieser toxischen Beziehung zu verweilen. Können Sie nochmal erklären, warum die Einsamkeit sich für Sie so schwer anfühlt?",2,2,1,1.667
AU01.001696,d1_illness_beliefs,"Ich habe verstanden, dass sie gerade gar nicht so gerne hier sind und dass sie auch gar nicht glauben, dass ich ihnen helfen kann. Und das ist auch erstmal in Ordnung. Und sie haben gesagt, dass sie das für eine Strafe von Gott halten, dass sie jetzt so krank sind. Können sie mir einmal erklären, was sie gemacht haben, dass Gott sie so bestraft?",2,3,3,2.667
AU01.001697,d1_illness_beliefs,"Das klingt nach einer ganz großen Verantwortung und nach einer schweren Last, die Sie damit sich tragen. Können Sie sagen, dass Sie glauben, dass das auch eine Strafe sein könnte oder dass Sie sich das fragen, ob das vielleicht eine Strafe von Gott für Ihre vergangenen Fehler sein könnte? Ich wundere mich über diesen Zwiespalt. Können Sie vielleicht noch mal genauer erklären, was dafür spricht, dass das vielleicht eine Strafe sein könnte und was dagegen spricht, warum Sie sich da so unsicher sind?",2,3,2,2.333
AU01.001734,d1_illness_beliefs,"Ich kann Ihre Gedanken sehr gut nachvollziehen und höre da Schuldgefühle raus. Was würden denn Ihre Eltern zu diesen Gedanken sagen, die Sie gerade geäußert haben?",1,2,2,1.667
AU01.001736,d1_illness_beliefs,"Viele Menschen berichten, dass Sie sich nach einer Trennung einsam fühlen und ich glaube Ihnen, dass sich das schlimmer anfühlt als die Beziehung selbst. Haben Sie sich denn schon einmal einsam gefühlt in Ihrem Leben? Was hat da geholfen und was können wir hier dagegen tun, um damit umzugehen?",1,4,3,2.667
AU01.001737,d1_illness_beliefs,"haben sie natürlich recht, es ist meine Aufgabe, ihnen zu helfen. Und ich verstehe, dass es für sie anstrengend ist oder vielleicht auch frustrierend, immer wieder darüber zu sprechen, aber ich bin ja auch gleichzeitig darauf angewiesen, besser zu verstehen, wie es in ihnen aussieht und weil sich das ja auch bei jedem unterscheiden kann. So können wir dann gemeinsam herausfinden, was ihnen fehlt.",2,2,2,2.0
AU01.001805,d1_illness_beliefs,"Das klingt nach sehr belastenden Gedanken, die Sie da vom Schlafen abhalten. Wie kommen Sie denn darauf, dass das eine Strafe Gottes sein könnte, dass es Ihnen aktuell so geht, wie Sie es beschreiben?",3,4,3,3.333
AU01.001806,d1_illness_beliefs,"Ich kann gut verstehen, dass Sie bei Panikattacken nicht als erstes daran denken, an den Gedanken zu arbeiten, die Sie haben. Grundsätzlich erscheint es ja auch manchmal sehr schwierig, überhaupt Einfluss auf die eigenen Gedanken nehmen zu können. Aber es könnte ja durchaus sein, dass Ihre Gedanken zurzeit damit zusammenhängen, dass Sie gelähmlich an Panikattacken leiden.",2,3,2,2.333
AU01.001807,d1_illness_beliefs,"Es stimmt, Sie haben mir in der letzten Sitzung schon mal erklärt, worunter Sie aktuell leiden. Und gleichzeitig ist es für mich wichtig, noch ein bisschen besser verstehen zu können, was genau Sie aktuell so belastet. Und es ehrt mich natürlich, wenn Sie sagen, ich wäre die Expertin, aber da muss ich Ihnen leider widersprechen. Für Ihre eigene Geschichte und Empfindungen sind auch Sie wohl der Experte.",3,2,2,2.333
AU01.001861,d1_illness_beliefs,"Das klingt wirklich sehr schlimm, was Sie durchmachen. Ich kann mir vorstellen, dass das sehr anstrengend ist und dass Sie auch Probleme haben, erst mal über Gedanken zu sprechen. Das höre ich auch raus. Was halten Sie denn davon, wenn wir das Ganze anders angehen? Und wir schauen mal, was wir für Möglichkeiten finden, damit Sie jetzt kurzfristig in der Situation eine Besserung finden.",1,2,2,1.667
AU01.001862,d1_illness_beliefs,"Das klingt tatsächlich so, als ob sie aktuell eine wirklich schwierige Situation durchmachen. Und wenn ich mir anhöre, dass sie vor fünf Jahren auch noch mit ihrer Familie gebrochen haben, ist das echt wirklich schlimm. Tut mir leid. Also ich kann total nachvollziehen, dass sie jetzt sagen mit den ganzen Dingen, die jetzt auf einmal kommen mit diesen Unzufriedenheiten, dass sie sagen, dass das kein Zufall ist. Wollen wir mal zusammen nachgucken, wo das Ganze herkommt und was wir daraus machen können.",3,3,2,2.667
