id,dimension,text,text_en,rater_one,rater_two,rater_three,average_score
AU01.000968,d1_illness_beliefs,"Ich kann Ihren Frust gut verstehen. Man muss ständig so viel wiederholen und es auch schon so vielen Menschen erzählen. Können Sie sich vorstellen, warum Sie das so frustriert, dass Sie es nochmal erklären müssen?",I can understand your frustration. You have to repeat so much all the time and tell so many people. Can you imagine why this frustrates you so much that you have to explain it again?,1,4,2,2.333
AU01.000969,d1_illness_beliefs,"Wenn ich mich so in ihre Lage versetze, kann ich mir vorstellen, dass es auch relativ anstrengend ist, immer und immer wieder mehr ins Detail zu gehen und noch mehr zu erzählen. Allerdings bin ich nur die Spezialistin, die das Fachwissen hat. Sie sind der Spezialist von Ihnen und nur Sie können bestimmte Fragen über Sie beantworten.","If I put myself in their shoes, I can imagine that it is relatively tiring to go into more detail and tell more over and over again. However, I am only the specialist who has the specialist knowledge. You are the specialist of you and only you can answer certain questions about you.",2,2,2,2.0
AU01.001015,d1_illness_beliefs,"Ja, genau, das stimmt. Ich bin schon der Spezialist. Nur ist es so, dass ich einfach ein paar mehr Informationen von Ihnen brauche, weil es einfach eben sehr viele verschiedene Krankheiten und verschiedene Krankheitsbilder gibt und um Ihnen da einfach bestmöglich helfen zu können. Es ist einfach sehr wichtig, dass ich genug Informationen kriege, damit wir dann daraus irgendwie zusammenschauen können, was wir vielleicht für eine Krankheit haben und wo wir dann dann am besten ansetzen, um zu schauen, dass es Ihnen so schnell wie möglich auch wieder besser geht.","Yes, exactly, that's right. I'm already the specialist. It's just that I just need a little more information from you, because there are so many different diseases and different clinical pictures and so that I can help you as best as possible. It is simply very important that I get enough information so that we can then sort of put together what kind of illness we might have and where we can best start to make sure that you get better again as quickly as possible.",2,2,2,2.0
AU01.001017,d1_illness_beliefs,"Genau. Also sagen, ich bin Experte, aber natürlich kann ich nicht ganz einfach in sie reinschauen. Und was bei mir auf jeden Fall einkommt, dass sie krank sind und dass sie da auf jeden Fall drunter auch ganz klar leiden. Und ich glaube aber, dass ich einfach noch ein paar mehr Informationen von ihnen bräuchte, damit wir zusammen rausfinden können bzw. damit ich einfach schauen kann, okay, welche Form von Krankheit ist es, die sie da haben? Und damit ich dann eben auch schauen kann, was wäre die beste Herangehensweise, damit ich ihnen auch wirklich irgendwie so gut es geht helfen kann und unterstützen kann. Und einfach um noch dafür ein paar mehr Informationen zu kriegen, würde ich ihnen gerne einfach noch ein paar mehr Fragen dazustellen.","Exactly. So say I'm an expert, but of course I can't just look into them. And what definitely occurs to me is that they are sick and that they are definitely suffering because of it. And I think that I just need a little more information from you so that we can find out together or so that I can just see, okay, what type of illness is it that you have? And so that I can then see what would be the best approach so that I can really help and support them as best as possible. And just to get a little more information, I would like to ask you a few more questions about it.",2,2,2,2.0
AU01.001067,d1_illness_beliefs,"Ja, ich verstehe, dass Sie ein bisschen genervt sind davon, dass ich so neugierig nachfrage und ich scheinbar auch nicht gut erklärt habe, weshalb ich eigentlich diese ganzen Fragen stelle. Mir ist es total wichtig, dass ich genau verstehe, worum es bei Ihnen geht. Zum einen habe ich natürlich Wissen über bestimmte psychische Störungen, die unterscheiden sich aber von Person zu Person. Mir ist es total wichtig, wie genau Ihr Problem eigentlich aussieht und beziehungsweise auch, wie Sie das bisher verstehen, weil ich gerne erreichen würde, dass wir zusammen ein gemeinsames Verständnis hätten. Also vielleicht, wenn das für Sie in Ordnung ist, könnten Sie noch einmal mir erklären, wie Sie sagen würden, was eigentlich mit Ihnen los ist.","Yes, I understand that you are a bit annoyed that I ask so curiously and that I don't seem to have explained well why I'm actually asking all these questions. It's really important to me that I understand exactly what you're talking about. On the one hand, I of course have knowledge about certain mental disorders, but they differ from person to person. It's really important to me what exactly your problem actually looks like and also how you understand it so far, because I would like to ensure that we have a common understanding together. So maybe, if that's okay with you, could you explain to me again how you would say what's actually going on with you.",4,3,3,3.333
AU01.001068,d1_illness_beliefs,"Okay, ich merke, dass Sie irritiert sind durch das, was ich gerade gesagt habe, weil Sie, glaube ich, den Eindruck hatten, ich würde Ihnen da was einreden wollen zu dieser Beziehung. Vielleicht können Sie mir noch mal genauer schildern, was das so besonders belastend macht, also was dieses Gefühl von Einsamkeit besonders belastend macht.","Okay, I notice that you are irritated by what I just said because I think you had the impression that I was trying to convince you about this relationship. Maybe you can describe to me in more detail what makes this particularly stressful, i.e. what makes this feeling of loneliness particularly stressful.",3,4,3,3.333
AU01.001069,d1_illness_beliefs,"Okay, das heißt, Sie haben so diesen klaren zeitlichen Zusammenhang für sich gefunden, dass der Kontaktabbruch zu der Familie zu tun hat, damit dass es Ihnen so deutlich schlechter geht. Vielleicht können wir da nochmal genauer drauf eingehen. Was ist so Ihre Idee? Wie genau hat denn, was genau ist dann passiert mit Ihnen nach dem Kontaktabbruch, sodass Sie dann jetzt diese Symptome haben?","Okay, that means you have found this clear temporal connection for yourself that the loss of contact with the family has something to do with the fact that you are feeling so much worse. Maybe we can go into this in more detail. What is your idea? How exactly did, what exactly happened to you after you broke off contact so that you now have these symptoms?",3,4,4,3.667
AU01.001103,d1_illness_beliefs,"Also ich verstehe, dass Sie meinen, dass Menschen Ihnen bei Ihren Problemen jetzt nicht helfen können, sondern dass Hilfe von Gott kommt oder kommen sollte. Ist das schon immer so bei Ihnen gewesen oder gab es einen bestimmten Zeitpunkt in Ihrem Leben, wo Sie beschlossen haben, sich nur noch auf Gott zu verlassen?","So I understand that you think that people cannot help you with your problems now, but that help comes or should come from God. Has it always been this way for you or was there a certain point in your life when you decided to rely only on God?",1,4,2,2.333
AU01.001104,d1_illness_beliefs,"Also seit ihrer Trennung von der Familie mehren sich einfach die Anzeichen, dass sie gesundheitliche Probleme haben, Probleme im beruflichen Umfeld und würden dieser Sache gern durch mich auf den Grund gehen. In der Zusammenarbeit habe ich das richtig zusammengefasst? Ja.","Since their separation from the family, there have been increasing signs that they have health problems, problems in their professional environment and would like me to get to the bottom of this matter. In the collaboration, did I summarize that correctly? Yes.",3,3,2,2.667
AU01.001105,d1_illness_beliefs,"Das heißt, die Einsamkeit empfinden Sie als belastender als die Situation, als Sie noch in der Beziehung selber gewesen sind. War das auch so zu dem Zeitpunkt, als die Trennung stattgefunden hat?",This means that you find loneliness more stressful than the situation when you were still in the relationship. Was that also the case when the separation took place?,1,3,2,2.0
AU01.001120,d1_illness_beliefs,"Bisher habe ich noch nicht so viel von Ihnen dazu gehört, was es genau für Sie heißt, dass Sie krank sind. Um das besser verstehen zu können, erzählen Sie mir doch bitte gerne noch etwas genauer, was es für Sie heißt, krank zu sein.","So far I haven't heard much from you about what exactly it means for you that you are sick. In order to understand this better, please tell me in more detail what it means to you to be sick.",2,3,3,2.667
AU01.001121,d1_illness_beliefs,"Ich verstehe gut, dass sie das sehr beschäftigt, dass sie ihre Eltern ohne Geld zurückgelassen haben, aber ich glaube auch, dass es für ihre Eltern sehr wichtig war, das Geld aufzubringen, damit sie flüchten und sich ein neues Leben aufbauen können, ein besseres Leben als das, was sie in ihrem Herkunftsland gehabt haben.","I understand that they are very concerned about leaving their parents without money, but I also believe that it was very important for their parents to raise the money so that they could escape and build a new life, a better life than the one they had in their country of origin.",1,2,1,1.333
AU01.001122,d1_illness_beliefs,"Ich möchte gerne versuchen, Sie dabei zu unterstützen, Ihre Panikattacken loszuwerden. Dafür ist es aber wichtig, dass wir beide besser verstehen, wann diese Panikattacken auftreten und welche Gedanken Sie in diesen Momenten haben.","I would like to try to help you get rid of your panic attacks. However, it is important that we both better understand when these panic attacks occur and what thoughts you have in these moments.",2,2,2,2.0
AU01.001130,d1_illness_beliefs,"Ich verstehe, dass Sie Zweifel gegenüber der Psychotherapie haben. Das ist ja auch erstmal eine ganz neue Situation für Sie und es ist bestimmt sehr, sehr ungewohnt jetzt für Sie hier zu sein. Was meinen Sie denn genau mit Strafe? Wofür möchte Sie Gott bestrafen?","I understand that you have doubts about psychotherapy. This is a completely new situation for you and it is definitely very, very unusual for you to be here now. What exactly do you mean by punishment? What does God want to punish you for?",2,4,3,3.0
AU01.001132,d1_illness_beliefs,"Ich verstehe, dass es Ihnen schwerfällt, über Ihr Problem zu sprechen. Trotzdem ist es für mich ganz ganz wichtig, Sie ganz genau in Ihrer Thematik zu verstehen, damit ich Ihnen auch helfen kann und damit wir gemeinsam daran arbeiten können.","I understand that you find it difficult to talk about your problem. Nevertheless, it is very important for me to understand your topic exactly so that I can help you and so that we can work on it together.",2,2,2,2.0
AU01.001133,d1_illness_beliefs,"Das klingt für mich nach ziemlich belastenden Gedanken und ich kann verstehen, dass sie das von Schlafen abhält. Haben sie Schuldgefühle gegenüber ihren Eltern?",These sound like pretty stressful thoughts to me and I can understand that it's keeping her from sleeping. Do you feel guilty towards your parents?,1,1,0,0.667
AU01.001159,d1_illness_beliefs,"Mich würde interessieren, was sie genau unter Panikattacken verstehen.",I would be interested to know what exactly you mean by panic attacks.,1,1,1,1.0
AU01.001160,d1_illness_beliefs,"Das klingt, als hätten sie eine sehr große Skepsis der Psychotherapie gegenüber. Was sind denn genau ihre Befürchtungen?",It sounds like you are very skeptical about psychotherapy. What exactly are their fears?,0,2,3,1.667
AU01.001200,d1_illness_beliefs,"Ich habe verstanden, dass die Einsamkeit sich für Sie gerade belastender anfühlt, als es die Beziehung war. Möchten Sie mir vielleicht trotzdem erzählen, was das Toxische an der Beziehung war?",I understand that loneliness feels more stressful for you than the relationship did. Would you still like to tell me what was toxic about the relationship?,2,1,0,1.0
AU01.001201,d1_illness_beliefs,"Genau, sie sind zu mir gekommen, um Unterstützung zu erhalten und damit ich ihnen gut helfen kann, ist es wichtig, dass ich ihre Situation möglichst genau verstehe. Und da ich nicht in sie reingucken kann, bin ich da einfach darauf angewiesen, dass sie mir das noch mal ein bisschen erläutern, bitte.","Exactly, they came to me for support and so that I can help them well, it is important that I understand their situation as clearly as possible. And since I can't look into them, I just have to rely on you to explain it to me a little more, please.",3,2,2,2.333
AU01.001202,d1_illness_beliefs,"Sie glauben, es gibt einen Zusammenhang zwischen dem Kontaktabbruch und den Belastungen, die Sie jetzt auf Arbeit und in der Partnerschaft erleben. Können Sie mir erklären, wie Sie sich diesen Zusammenhang vorstellen?",You believe there is a connection between the break in contact and the stress you are now experiencing at work and in your relationship. Can you explain to me how you imagine this connection?,4,4,4,4.0
AU01.001245,d1_illness_beliefs,"Wie meinen sie das? Das kann kein Zufall sein. Das klingt, als hätten sie eine Theorie dazu.",What do you mean? This can't be a coincidence. It sounds like they have a theory about it.,1,3,2,2.0
AU01.001246,d1_illness_beliefs,"Möchten Sie mir mehr über Ihre Beziehung zu Gott erzählen oder was es für Sie bedeutet, Ihr Bezug zum Glauben zu Gott?","Would you like to tell me more about your relationship with God or what it means to you, your relationship to faith with God?",0,2,1,1.0
AU01.001247,d1_illness_beliefs,"Erzählen Sie mir ein bisschen mehr darüber, was Sie erleben, wenn Sie so einsam sind. Wie geht es Ihnen dann?",Tell me a little more about what you experience when you are so lonely. How are you then?,1,1,1,1.0
AU01.001270,d1_illness_beliefs,"Ich verstehe, dass es Ihnen ganz wichtig ist, für Ihre Familie da zu sein und dass das ganz wichtig ist. Und vielleicht höre ich da auch ein bisschen raus, dass Sie Angst oder Sorge haben, dass das nicht mehr möglich sein wird, wenn Sie bei mir in Therapie sind. Und da bin ich mir ganz sicher, dass wir gemeinsam einen Weg finden, der Ihnen helfen kann, für Ihre Familie weiterhin da zu sein und trotzdem auch für sich zu sorgen. Weil Sie ja auch gesagt haben, Sie brauchen oder Sie wünschen sich Unterstützung, um mit den Panikattacken zurechtzukommen. Und da würde mich noch interessieren, was Ihre Idee davon ist, wie diese Panikattacken, warum diese Panikattacken da sind. Und vielleicht auch, was Sie sich vorstellen, was Ihnen dabei helfen könnte, mit den Panikattacken zurechtzukommen.","I understand that it is very important to you to be there for your family and that this is very important. And maybe I can hear a little bit that you are afraid or worried that this will no longer be possible once you are in therapy with me. And I am absolutely sure that together we will find a way that can help you continue to be there for your family and still take care of yourself. Because you also said that you need or want support to cope with the panic attacks. And I would be interested to know what your idea is about how these panic attacks occur, why these panic attacks occur. And perhaps what you imagine would help you cope with the panic attacks.",3,4,2,3.0
AU01.001271,d1_illness_beliefs,"Da fühlen sie sich von mir nicht gut verstanden oder nicht verstanden vielleicht überhaupt, dass ich das Problem gar nicht richtig erfasst habe. Und das ist ja vielleicht eine Situation, die ihnen auch mit anderen Menschen begegnet, ein Gefühl, das ihnen mit anderen Menschen begegnet, im Kontakt, wenn sie über ihre Beziehung berichten oder auch über andere Situationen berichten. Wenn sie das so hören, haben sie das Gefühl, das ist ein Gefühl, das sie kennen.","They feel like I don't understand them well, or maybe they don't understand me at all, that I haven't really grasped the problem at all. And this is perhaps a situation that you also encounter with other people, a feeling that you encounter with other people, in contact, when you report about your relationship or report about other situations. When they hear it like that, they feel like it's a feeling they know.",2,2,2,2.0
AU01.001272,d1_illness_beliefs,"Da wünschen Sie sich einer Person, die Ihnen sagt, worunter Sie leiden und was das Schwierige an der aktuellen Situation ist. Und vielleicht ist das auch was, was für Sie sehr schwierig war in den letzten Wochen und vielleicht auch Monaten, dass Sie das Gefühl haben, niemand kann Ihnen sagen, worunter Sie leiden bzw. vor allem was Sie tun können, damit die Situation besser wird. Und das ist wahnsinnig schwierig, so eine Situation mit einer so großen Unsicherheit, das kann ich gut nachvollziehen. Gleichzeitig ist es für mich ganz wichtig zu wissen, wie Ihre genaue Situation ist, weil jeder Mensch ist ein bisschen unterschiedlich und deswegen ist es ganz wichtig, dass wir zusammen herausfinden und stöbern, wie es Ihnen geht und wie es vielleicht zu der Situation kam, wie es hier jetzt aktuell ist. Deswegen möchte ich nochmal fragen, was Sie selbst denken, warum es Ihnen jetzt so geht, wie es Ihnen geht.","You want someone who can tell you what you are suffering from and what is difficult about the current situation. And maybe that's something that has been very difficult for you in the last few weeks and maybe months, that you have the feeling that no one can tell you what you are suffering from or, above all, what you can do to make the situation better. And that is incredibly difficult, a situation like this with so much uncertainty, I can understand that. At the same time, it is very important for me to know what your exact situation is because every person is a little different and that is why it is very important that we find out together and find out how you are doing and how the situation that we are in now came about. That's why I'd like to ask again what you think about why you're feeling the way you are now.",3,4,4,3.667
AU01.001299,d1_illness_beliefs,"Ich kann gut verstehen, dass sie etwas skeptisch sind. Ich meine, sie kennen mich ja auch noch gar nicht. Gleichzeitig bin ich mir es gewöhnt, mit Menschen zu arbeiten, die ähnliche Schwierigkeiten haben, wie sie. Wenn sie wollen, können wir auch einfach mal zusammen schauen, wohin das führt.","I can well understand that you are a bit skeptical. I mean, they don't even know me yet. At the same time, I'm used to working with people who have similar difficulties as you. If you want, we can just see together where it leads.",2,2,2,2.0
AU01.001300,d1_illness_beliefs,"Ich kann sehr gut verstehen, dass Sie diese Gedanken vom Schlaf abhalten. Sie befinden sich auch in einer sehr schwierigen Situation. Haben Sie Interesse daran zusammenzuschauen, was Ihnen vielleicht helfen könnte, damit Sie manchmal etwas zur Ruhe kommen können?",I can very well understand that these thoughts are preventing you from sleeping. You are also in a very difficult situation. Are you interested in looking at what might help you so that you can sometimes relax a bit?,3,3,2,2.667
AU01.001301,d1_illness_beliefs,"Ich sehe, dass es ihnen wirklich nicht gut geht. Gleichzeitig ist es mir ganz wichtig, sie richtig und richtig zu verstehen. Und deswegen wäre ich froh, wenn sie mir noch einmal erklären, was genau sie beschäftigt.","I can see that they are really not doing well. At the same time, it is very important to me to understand them correctly and accurately. And that's why I would be happy if you explained to me again what exactly concerns you.",2,2,3,2.333
AU01.001316,d1_illness_beliefs,"Damit haben Sie natürlich recht, es ist meine Aufgabe zu versuchen, Ihnen zu helfen, dass es Ihnen wieder etwas besser geht, aber das können wir nur gemeinsam schaffen. Ich brauche da auch auf jeden Fall Ihre Unterstützung.","You're right, of course, it's my job to try to help you feel a little better, but we can only do that together. I definitely need your support here too.",2,2,2,2.0
AU01.001317,d1_illness_beliefs,"Sie haben mir in den letzten Minuten geschildert, wie schlecht es Ihnen in den letzten Wochen gegangen ist und wie belastet Sie sind. Und vielleicht kann nur Gott Ihnen die Krankheit nehmen, aber vielleicht kann ich Ihnen ja auch dabei helfen, dass es Ihnen jetzt in dem Moment, in den nächsten Tagen auch wieder etwas besser geht, etwas weniger schlecht geht.","In the last few minutes you have described to me how badly you have been feeling in the last few weeks and how stressed you are. And maybe only God can take the illness away from you, but maybe I can also help you feel a little better right now, or feel a little less bad, in the next few days.",2,2,2,2.0
AU01.001318,d1_illness_beliefs,"Sie haben Recht, es klingt, als wäre das sehr plausibel anzunehmen, dass es da eine Verbindung gibt. Ich gehe davon aus, dass es ganz viele Faktoren gibt, die bestimmen, wie wir uns fühlen und wie sich unser Alltag anfühlt. Das ist also ein Aspekt davon. Wir können in der nächsten Zeit noch versuchen herauszufinden, ob es noch weitere Aspekte gibt, die Sie aktuell belasten.","You're right, it sounds like it's very plausible to assume there's a connection. I assume that there are many factors that determine how we feel and what our everyday life is like. So that's one aspect of it. We can try to find out in the near future whether there are other aspects that are currently bothering you.",3,2,2,2.333
AU01.001332,d1_illness_beliefs,"Ich verstehe, sie tragen sehr viel Verantwortung und würden sich wünschen, dass ihnen jemand eine schnelle Hilfe geben kann, damit sie weiter funktionieren können. Unglücklicherweise gibt es diese schnelle Hilfe nicht, sondern wir müssen schon uns auch mit den Hintergründen ihrer Panikattacke beschäftigen.","I understand that they have a lot of responsibility and would like someone to be able to give them quick help so that they can continue to function. Unfortunately, this quick help doesn't exist; we have to deal with the reasons behind her panic attack.",2,2,2,2.0
AU01.001333,d1_illness_beliefs,"Das stelle ich mir sehr schwierig vor, wenn man den Kontakt zu seiner Familie abbricht. Wie ging es Ihnen denn emotional damit? Und vielleicht möchten Sie mir das erklären, wie Sie den Zusammenhang ziehen zwischen dem Kontaktabbruch und der Verschlechterung Ihres gesundheitlichen Zustandes.",I imagine it would be very difficult if you cut off contact with your family. How did you feel about it emotionally? And perhaps you would like to explain to me how you draw the connection between the loss of contact and the deterioration of your health.,4,3,3,3.333
AU01.001334,d1_illness_beliefs,"Sie haben recht, ich bin Psychotherapeutin und kenne mich mit seelischen Erkrankungen gut aus. Allerdings kann ich nicht in Ihren Kopf hineingucken und deswegen muss ich mit Ihnen reden und von Ihnen erfahren als Experte für Ihr eigenes Leben, wie es Ihnen geht, was Sie fühlen, was Sie denken.","You are right, I am a psychotherapist and know a lot about mental illnesses. However, I can't look into your head and that's why I have to talk to you and find out from you as an expert on your own life, how you're doing, what you're feeling, what you're thinking.",2,2,2,2.0
AU01.001375,d1_illness_beliefs,Was empfinden Sie so schwierig an der Einsamkeit?,What do you find so difficult about loneliness?,0,1,0,0.333
AU01.001376,d1_illness_beliefs,"Na dann sagen sie mir doch mal bitte, warum sie sich krank fühlen.",Well then please tell me why you feel sick.,1,0,2,1.0
AU01.001377,d1_illness_beliefs,Haben Sie noch Kontakt zu Ihren Eltern?,Are you still in contact with your parents?,0,0,0,0.0
AU01.001421,d1_illness_beliefs,"Sie haben den Eindruck, Sie können sich da gar nicht alleine rausholen, gell? Sie brauchen Unterstützung von außen.","You have the impression that you can't get out of this on your own, right? You need outside support.",1,1,1,1.0
AU01.001422,d1_illness_beliefs,"Das stimmt, ich kann einordnen, welche Beschwerden Sie haben, aber wenn Sie zum Beispiel zum Arzt gehen, dann fragt er ja auch, tut es Ihnen weh, wenn ich hier drauf drücke, oder haben Sie Schmerzen, wenn ich da drücke. Und genauso läuft es hier auch, dass ich verschiedene Fragen stellen muss, damit ich Sie besser verstehen kann, damit ich Ihnen am Ende helfen kann.","That's right, I can classify what symptoms you have, but when you go to the doctor, for example, he also asks, does it hurt you when I press on this, or do you have pain when I press on it? And that's exactly how it works here, that I have to ask different questions so that I can understand you better so that I can help you in the end.",2,2,2,2.0
AU01.001423,d1_illness_beliefs,"Das stimmt, ich bin die Expertin. Ich weiß, wie die Krankheiten heißen, ich weiß, wie man sie behandeln kann, aber damit ich weiß, wo genau es ihnen weh tut sozusagen, wo genau sie Beschwerden haben, brauche ich ihre Hilfe. Wir müssen uns das gemeinsam anschauen, damit ich am Ende ihnen bestmöglich hilfreich sein kann.","That's right, I'm the expert. I know what the diseases are called, I know how to treat them, but so that I know exactly where they are hurting, so to speak, where exactly they have problems, I need your help. We have to look at this together so that in the end I can be of the best possible help to you.",3,2,2,2.333
AU01.001440,d1_illness_beliefs,"Da sind Sie gerade aktuell ganz schön belastet. Sie haben starke Schuldgefühle Ihren Eltern gegenüber und wenn ich das richtig verstanden habe, fragen Sie sich, ob Ihre eigene Schuld so groß ist, dass Gott Sie dafür bestrafen möchte.","You're under a lot of stress right now. You have strong feelings of guilt towards your parents and, if I understand correctly, you are wondering whether your own guilt is so great that God wants to punish you for it.",2,3,3,2.667
AU01.001441,d1_illness_beliefs,"Da haben Sie aktuell ja in einigen Lebensbereichen Probleme angesprochen oder erleben, einige Bereiche schwierig und das hängt für Sie damit zusammen, dass Sie keinen Kontakt mehr zur Familie haben und vielleicht dort der Halt weggebrochen ist und dann krieselt es auch in anderen Bereichen, habe ich das richtig verstanden?","You have currently discussed or are experiencing problems in some areas of your life, some areas are difficult and for you this is due to the fact that you no longer have contact with your family and perhaps the support there has been lost and then things are also struggling in other areas, did I understand that correctly?",2,3,3,2.667
AU01.001442,d1_illness_beliefs,"Ja, da sind sie gerade ganz schön allein mit ihrer Krankheit und ich habe verstanden, dass sie auch Sorge haben, dass sie als verrückt angesehen werden, weil sie jetzt zu so jemanden wie mir gehen sollen, eine Psychotherapeutin. Mich würde interessieren, welche Beschwerden sie denn genau haben und was sie da in ihrem Alltag alles tragen mit ihrer Krankheit.","Yes, they are quite alone with their illness right now and I understand that they are also worried that they will be seen as crazy because they should now go to someone like me, a psychotherapist. I would be interested to know exactly what complaints they have and what they deal with in their everyday lives with their illness.",2,2,2,2.0
AU01.001469,d1_illness_beliefs,"Sie denken also, dass der Kontaktabbruch eventuell zu den Symptomen geführt haben könnte. Dies müssten wir noch weiter erforschen, da ja die Zeit auch schon sehr lange hin ist.","So you think that the break in contact may have led to the symptoms. We would have to research this further, as the time has already passed for a very long time.",2,2,2,2.0
AU01.001470,d1_illness_beliefs,"Sie möchten erfahren, wie es zu diesen Panikattacken kommt und möchten davon befreit werden. Aber dazu ist es sehr wichtig, dass wir gemeinsam versuchen, mehr Informationen zu bekommen, woran diese Panikattacken sich entstehen lassen. Und dafür ist es auch sehr wichtig, halt auch über ihre Gedankenwelt mehr zu erfahren gemeinsam.",You want to know why these panic attacks happen and want to be free from them. But it is very important that we try together to get more information about what causes these panic attacks. And for this it is also very important to find out more about their world of thought together.,3,2,2,2.333
AU01.001471,d1_illness_beliefs,"Sie fühlen sich also schuldig, dass die Eltern ihnen so viel Geld für die Flucht ausgegeben haben, aber wichtig ist auch zu schauen, wie diese Schuld genau sich darstellt, auch im Rahmen ihres religiösen Bezugssystems, dass sie das vielleicht auch als Strafe Gottes empfinden. Das was ihnen dann alles Negatives wiederfahren ist in ihr Heimatland und auf ihre Flucht hinaus, das müssen wir weiter mal genauer anschauen.","So they feel guilty that their parents spent so much money on them to escape, but it is also important to look at exactly how this guilt presents itself, also within the framework of their religious reference system, so that they perhaps also perceive it as a punishment from God. We have to take a closer look at the negative things that happen to them in their home country and when they flee.",3,3,3,3.0
