id,dimension,variant_id,model,average_score,llm_score,brief_rationale,error,attempts,runtime_seconds,timestamp
AU01.000968,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.333,2,"Die Therapeut:in zeigt Verständnis für den Frust des Patienten, was eine grundlegende Empathie demonstriert. Allerdings wird das subjektive Krankheits- und Heilungsvorstellungsmodell der Patient:in nicht explizit erfragt. Es fehlen Fragen nach der persönlichen Erklärung der Beschwerden, Heilvorstellungen oder Erwartungen an die Therapie. Die Reaktion bleibt auf die Validierung des Gefühls frustriert zu sein beschränkt, ohne die zielgerichtete Exploration des Erklärungsmodells oder der Heilvorstellungen zu initiieren. Damit wird die Aufgabenstellung nur teilweise erfüllt.",,1,1.624,2026-07-14T18:23:41
AU01.000969,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,2,"Die Aussage zeigt eine gewisse Anerkennung der Patient:inns Perspektive („Wenn ich mich so in ihre Lage versetze...“) und betont die Eigenverantwortung der Patient:in. Allerdings wird das subjektive Krankheits- und Heilungsvorstellungen der Patient:in nicht explizit erfragt. Es fehlen zentrale Elemente wie Fragen nach Erklärungsmodellen, Heilvorstellungen oder Erwartungen an die Therapie. Die Reaktion bleibt auf eine allgemeine Validierung der Anstrengung beschränkt und verbleibt im Bereich der Basisfertigkeiten ohne tiefergehende Exploration des Erklärungsmodells. Daher wird die Aufgabenstellung nur teilweise erfüllt.",,1,1.154,2026-07-14T18:23:42
AU01.001015,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,1,"Die Aussage des Therapeuten betont die Notwendigkeit von Informationen und die eigene Rolle als Fachkraft, jedoch erfolgt keine explizite Exploration der subjektiven Krankheits- oder Heilungsvorstellungen der Patientin. Es werden keine Fragen nach dem persönlichen Erklärungsmodell, Heilvorstellungen oder Erwartungen an die Therapie gestellt. Die Reaktion ist zwar verständlich und angemessen formuliert, aber sie bleibt auf der Ebene der fachlichen Vorgehensweise und verfehlt die zentrale Aufgabe, das individuelle Krankheitsverständnis der Patientin zu erforschen. Es fehlen alle Leistungsmerkmale, die auf die Exploration und Validierung des subjektiven Erklärungsmodells abzielen.",,1,1.025,2026-07-14T18:23:43
AU01.001017,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,2,"Die Therapeut:in zeigt Verständnis für die Belastung der Patient:in und betont die Notwendigkeit, gemeinsam Lösungen zu finden. Es wird angedeutet, dass weitere Informationen benötigt werden, um die Art der Krankheit zu verstehen und eine geeignete Herangehensweise zu finden. Allerdings wird das subjektive Erklärungsmodell der Patient:in oder deren Heilvorstellungen nicht explizit erfragt. Es fehlen zentrale Elemente wie die Frage nach der persönlichen Krankheits- oder Heilsvorstellung, die Validierung der Sichtweise oder die Exploration der individuellen Erklärungsmodelle. Die Aussage bleibt auf einer allgemeinen Ebene und erfüllt die Aufgabenstellung nur teilweise, daher Bewertung 2.",,1,1.278,2026-07-14T18:23:45
AU01.001067,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,3.333,3,"Die Therapeutin zeigt Verständnis für die Patientin, indem sie deren Frustration anerkennt und die eigene Neugier als sinnvoll und notwendig rechtfertigt. Sie fragt explizit nach dem subjektiven Verständnis des Problems: 'wie Sie das bisher verstehen' und 'können Sie noch einmal mir erklären, wie Sie sagen würden, was eigentlich mit Ihnen los ist'. Dies entspricht einem zentralen Leistungsmerkmal der Dimension. Allerdings fehlt eine explizite Validierung des Erklärungsmodells oder eine klare Zusammenfassung dessen in eigenen Worten. Die Formulierung ist verständlich und angemessen, aber die Exploration der Heilvorstellungen oder Erwartungen an die Therapie bleibt unerwähnt. Die Reaktion ist gut, aber nicht exzellent, da nicht alle zentralen Aspekte der Dimension vollständig abgedeckt sind.",,1,1.178,2026-07-14T18:23:46
AU01.001068,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,3.333,2,"Die Therapeutin zeigt Empathie und reflektiert den möglichen Eindruck der Patientin, als würde sie etwas eingehend werden wollen. Sie fragt nach der subjektiven Belastung durch Einsamkeit, was eine erste Annäherung an die persönliche Bedeutung des Erlebens darstellt. Allerdings wird das subjektive Krankheits- oder Heilungsvorstellungsmodell der Patientin nicht explizit erfragt. Es fehlen klare Fragen nach der persönlichen Erklärung der Beschwerden, Heilvorstellungen oder Erwartungen an die Therapie. Die Reaktion ist angemessen und verständlich, erfüllt aber nur die grundlegende Aufgabenstellung, ohne die spezifische Dimension der Exploration von Krankheits- und Heilungsvorstellungen ausreichend zu adressieren.",,1,1.174,2026-07-14T18:23:47
AU01.001069,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,3.667,3,"Die Therapeut:in eruiert den zeitlichen Zusammenhang zwischen dem Kontaktabbruch und den Symptomen und fragt nach der subjektiven Erklärung des Ereignisses ('Was ist so Ihre Idee? Wie genau hat denn, was genau ist dann passiert mit Ihnen...'). Dies zeigt eine Exploration des subjektiven Erklärungsmodells. Allerdings fehlt eine explizite Validierung des Erklärungsmodells, eine Klärung der Heilvorstellungen oder der Erwartungen an die Therapie. Die Frage ist etwas unpräzise formuliert und könnte als leicht suggestiv wirken. Dennoch wird das Krankheitsverständnis der Patient:in angesprochen, was die Dimension 'subjektive Krankheits- und Heilungsvorstellungen erfragen' inhaltlich anspricht, jedoch nicht vollständig umgesetzt.",,1,1.643,2026-07-14T18:23:49
AU01.001103,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.333,4,"Die Therapeut:in fragt explizit nach dem subjektiven Erklärungsmodell der Patient:in, indem sie dessen Überzeugung, dass Hilfe nur von Gott kommen kann, aufgreift und nach dem zeitlichen Kontext dieser Überzeugung fragt. Dies entspricht dem Leistungsmerkmal 'Fragt nach Erklärungsmodellen' und 'Klärt Erwartungen an die Therapie'. Die Formulierung ist verständlich, sensibel und zeigt Verständnis für die Überzeugung der Patient:in, ohne sie abzuwerten. Die Frage ist offen und fördert die Exploration der Heilvorstellungen, was die zielgerichtete Dimension 'subjektive Krankheits- und Heilungsvorstellungen erfragen' exzellent erfüllt.",,1,1.248,2026-07-14T18:23:50
AU01.001104,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.667,2,"Die Therapeut:in fasst die Sichtweise der Patient:in auf die Zusammenhänge zwischen der Trennung von der Familie und den gesundheitlichen sowie beruflichen Problemen zusammen („seit ihrer Trennung von der Familie mehren sich einfach die Anzeichen, dass sie gesundheitliche Probleme haben“), was die Exploration des subjektiven Erklärungsmodells teilweise erfasst. Die Frage zur Bestätigung der Zusammenfassung („In der Zusammenarbeit habe ich das richtig zusammengefasst?“) zeigt eine erste Validierung. Allerdings fehlen explizite Fragen nach dem subjektiven Krankheits- und Heilungsvorstellungen der Patient:in (z. B. „Wie erklären Sie sich Ihre Beschwerden?“, „Was glauben Sie, könnte Ihnen helfen?“), sowie eine tiefergehende Exploration der Heilvorstellungen oder Erwartungen an die Therapie. Die Reaktion ist verständlich und angemessen, erfüllt aber die Aufgabenstellung nur auf mittlerem Niveau, da die explizite Exploration der subjektiven Krankheits- und Heilungsvorstellungen nicht ausreichend umgesetzt ist.",,1,1.557,2026-07-14T18:23:51
AU01.001105,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,1,"Die Therapeut:in fragt nach der subjektiven Wahrnehmung der Einsamkeit im Vergleich zur Beziehungssituation, was eine erste Annäherung an die subjektive Erfahrung darstellt. Allerdings wird das Erklärungsmodell der Patient:in zur Krankheit oder zu den Beschwerden nicht explizit erfragt. Es fehlen klare Fragen nach der persönlichen Deutung der Probleme (z. B. 'Wie erklären Sie sich Ihre Beschwerden?'), Heilvorstellungen oder Erwartungen an die Therapie. Die Aussage bleibt auf der Ebene der Symptomatik und ist nicht ausreichend auf die Exploration des subjektiven Krankheits- und Heilungsvorstellungsmodells ausgerichtet. Die Reaktion ist verständlich, aber nicht ausreichend für eine höhere Bewertung.",,1,1.197,2026-07-14T18:23:53
AU01.001120,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.667,3,"Die Therapeut:in fragt explizit nach dem subjektiven Verständnis von Krankheit („was es für Sie heißt, krank zu sein“), was direkt auf die Exploration des Krankheitsverständnisses abzielt. Dies entspricht einem zentralen Leistungsmerkmal. Allerdings wird das Erklärungsmodell der Patient:in nicht weiter reflektiert, zusammengefasst oder validiert. Es fehlen zudem Fragen zu Heilvorstellungen oder Erwartungen an die Therapie. Die Formulierung ist verständlich und angemessen, aber die Exploration bleibt oberflächlich und nicht weiterführend. Daher wird eine Bewertung von 3 vergeben, da ein zentrales Merkmal erfüllt ist, aber die Tiefe und die Integration weiterer Leistungsmerkmale fehlen.",,1,2.044,2026-07-14T18:23:55
AU01.001121,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.333,1,"Die Aussage zeigt Verständnis für die emotionale Belastung der Patientin, aber es wird kein explizites Erfragen der subjektiven Krankheits- oder Heilungsvorstellungen der Patientin unternommen. Es erfolgt keine Frage nach, wie die Patientin ihre Probleme erklärt, welche Heilvorstellungen sie hat oder welche Erwartungen sie an die Therapie verbindet. Stattdessen wird eine eigene Interpretation der Situation vorgestellt, die die Sichtweise der Patientin nicht validiert oder exploriert. Die Reaktion ist zwar empathisch formuliert, erfüllt aber nicht die zentrale Aufgabe, das subjektive Erklärungs- und Heilungskonzept der Patientin zu erforschen. Daher liegt die Bewertung bei 1.",,1,1.016,2026-07-14T18:23:56
AU01.001122,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,2,"Die Therapeut:in zeigt Interesse an der Erklärung der Panikattacken und fragt nach dem Zeitpunkt und den begleitenden Gedanken, was eine erste Exploration der Symptomatik darstellt. Allerdings wird das subjektive Krankheits- und Heilungsvorstellungen der Patient:in nicht explizit erfragt. Es fehlen Fragen nach der persönlichen Erklärung der Beschwerden (z. B. 'Wie erklären Sie sich Ihre Panikattacken selbst?'), Heilvorstellungen (z. B. 'Was glauben Sie, könnte Ihnen helfen?') oder Erwartungen an die Therapie. Die Reaktion ist angemessen und verständlich, erfüllt aber nur teilweise die Aufgabenstellung, da die Exploration des subjektiven Erklärungsmodells und Heilungsvorstellungen fehlt.",,1,1.683,2026-07-14T18:23:57
AU01.001130,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,3.0,3,"Die Therapeut:in erkennt Zweifel der Patient:in gegenüber der Psychotherapie an und zeigt Verständnis (Validierung). Sie fragt nach dem konkreten Verständnis von 'Strafe' und wofür Gott die Patient:in bestrafen könnte, was auf die Exploration des subjektiven Erklärungsmodells abzielt. Allerdings wird das Erklärungsmodell nicht in eigenen Worten zusammengefasst, es fehlen Fragen zu Heilvorstellungen oder Erwartungen an die Therapie. Die Frage ist zielgerichtet, aber die Exploration bleibt auf eine einzige Dimension beschränkt. Die Gesprächsführung ist angemessen, die Formulierung verständlich, jedoch fehlt die tiefe Exploration des Krankheits- und Heilungsvorstellungsmodells insgesamt. Daher Bewertung 3: teilweise Umsetzung der Dimension, mit einem gut umgesetzten zentralen Element (Erklärungsmodell fragen), aber ohne umfassende Exploration.",,1,1.315,2026-07-14T18:23:59
AU01.001132,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,1,"Die Aussage zeigt Verständnis für die Schwierigkeit, über das Problem zu sprechen, und betont die Bedeutung der gemeinsamen Arbeit. Allerdings wird keine explizite Exploration der subjektiven Krankheits- oder Heilungsvorstellungen der Patient:in angestoßen. Es fehlen Fragen nach dem eigenen Erklärungsmodell, Heilvorstellungen oder Erwartungen an die Therapie. Die Reaktion bleibt auf eine allgemeine Validierung der Schwierigkeit beschränkt, ohne die geforderte Exploration des individuellen Krankheits- und Heilungsverstehens zu leisten. Dadurch wird die zielgerichtete Dimension nicht ausreichend umgesetzt.",,1,0.971,2026-07-14T18:24:00
AU01.001133,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,0.667,1,"Die Therapeut:in zeigt Empathie und versteht die Belastung, jedoch wird das subjektive Erklärungsmodell oder die Heilungsvorstellungen der Patient:in nicht explizit erfragt. Die Frage nach Schuldgefühlen ist zwar thematisch relevant, aber nicht als offene Erkundung des Krankheits- oder Heilungsvorstellungsmodells formuliert. Es fehlen zentrale Leistungsmerkmale wie die Zusammenfassung des Erklärungsmodells, die Exploration von Heilvorstellungen oder die Klärung von Erwartungen an die Therapie. Die Aussage ist kurz und verständlich, aber nicht ausreichend für eine höhere Bewertung.",,1,0.93,2026-07-14T18:24:01
AU01.001159,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.0,2,"Die Frage 'Mich würde interessieren, was sie genau unter Panikattacken verstehen.' eröffnet eine Exploration des subjektiven Verständnisses der Symptome, was ein erster Schritt zur Erfassung des Krankheitsverständnisses darstellt. Allerdings wird das Erklärungsmodell der Patient:in nicht weiter exploriert, es erfolgt keine Validierung, keine Klärung von Heilvorstellungen oder Erwartungen an die Therapie, und es fehlt eine flexibele Anpassung des therapeutischen Stils an die Sichtweise der Patient:in. Die Aussage ist verständlich und angemessen formuliert, erfüllt aber nur teilweise die Aufgabenstellung, da die Exploration der subjektiven Krankheits- und Heilungsvorstellungen nicht ausreichend tiefgreifend ist. Daher wird eine Bewertung von 2 vergeben.",,1,2.122,2026-07-14T18:24:03
AU01.001160,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.667,3,"Die Therapeut:in erfasst die Skepsis der Patient:in gegenüber Psychotherapie und fragt explizit nach den Befürchtungen, was die Exploration von subjektiven Heilvorstellungen und -erwartungen anvisiert. Die Frage ist direkt auf die individuelle Sichtweise der Patient:in ausgerichtet und zeigt Verständnis für Zweifel. Allerdings fehlt eine explizite Exploration des Krankheitsverständnisses (z. B. wie die Patient:in ihre Beschwerden erklärt) oder eine klare Validierung des Erklärungsmodells. Es wird nicht nach der eigenen Erklärung der Probleme oder nach Heilvorstellungen gefragt, was die Aufgabenstellung nur teilweise erfüllt. Die Formulierung ist angemessen und verständlich, aber die Tiefe der Exploration bleibt begrenzt.",,1,2.04,2026-07-14T18:24:05
AU01.001200,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.0,2,"Die Therapeut:in zeigt Verständnis für die subjektive Erfahrung der Einsamkeit und fragt nach der Beschreibung der Beziehung, was eine erste Exploration der Symptomatik einschließt. Allerdings wird das subjektive Erklärungsmodell oder die Heilungsvorstellungen der Patient:in nicht explizit erfragt. Es fehlen klare Fragen nach der persönlichen Deutung der Probleme (z. B. 'Wie erklären Sie sich Ihre Beschwerden?') oder nach Heilvorstellungen ('Was glauben Sie, könnte Ihnen helfen?'). Die Reaktion ist angemessen und verständlich, erfüllt aber nur teilweise die Aufgabenstellung, da die Exploration des Krankheits- und Heilungsvorstellungsmodells nicht explizit erfolgt.",,1,1.96,2026-07-14T18:24:07
AU01.001201,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.333,2,"Die Therapeut:in zeigt eine grundlegende Bereitschaft, die Situation der Patient:in zu verstehen, und betont die Notwendigkeit, dass die Patient:in ihre Erfahrungen schildert. Es wird angedeutet, dass die Therapeut:in auf die Schilderung der Patient:in angewiesen ist, was die Offenheit für das subjektive Erklärungsmodell signalisiert. Allerdings wird keine explizite Exploration der subjektiven Krankheits- oder Heilungsvorstellungen durch Fragen oder Zusammenfassungen des Erklärungsmodells angestoßen. Es fehlen konkrete Fragen nach der persönlichen Erklärung der Beschwerden, Heilvorstellungen oder Erwartungen an die Therapie. Die Aussage bleibt allgemein und verbleibt auf der Ebene der Gesprächsstruktur, ohne die zielgerichtete Exploration der Krankheits- und Heilungsvorstellungen zu realisieren. Daher wird eine Bewertung von 2 vergeben, da die Aufgabenstellung in Ansätzen erfüllt ist, aber nicht ausreichend tiefgehend umgesetzt wurde.",,1,1.508,2026-07-14T18:24:08
AU01.001202,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,4.0,4,"Die Therapeut:in fragt explizit nach dem subjektiven Erklärungsmodell der Patient:in, indem sie nach der Vorstellung des Zusammenhangs zwischen dem Kontaktabbruch und den aktuellen Belastungen fragt. Dies entspricht dem Leistungsmerkmal 'Fragt nach Erklärungsmodellen' und zeigt eine klare Exploration des Krankheitsverständnisses. Die Formulierung ist verständlich, sensitiv und fördert die Offenheit der Patient:in, ohne zu suggerieren oder zu bewerten. Damit wird die Zieldimension exzellent umgesetzt.",,1,0.822,2026-07-14T18:24:09
AU01.001245,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,2,"Die Therapeut:in reagiert auf eine Äußerung der Patient:in mit einer Frage, die die subjektive Deutung der Situation aufgreift („Das kann kein Zufall sein“), und zeigt damit Interesse an der eigenen Erklärung. Allerdings erfolgt keine explizite Exploration des Krankheits- oder Heilungsvorstellungsmodells der Patient:in, wie z. B. durch gezielte Fragen nach der eigenen Erklärung der Beschwerden, Heilvorstellungen oder Erwartungen an die Therapie. Es fehlen zentrale Leistungsmerkmale wie die Zusammenfassung des Erklärungsmodells in eigenen Worten oder die Validierung der Sichtweise. Die Reaktion ist angemessen und verständlich, erfüllt aber nur die grundlegende Aufgabenstellung, indem sie eine offene, neugierige Haltung zeigt, ohne die Dimension 'subjektive Krankheits- und Heilungsvorstellungen erfragen' ausreichend zu bearbeiten.",,1,1.26,2026-07-14T18:24:11
AU01.001246,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.0,1,"Die Frage zielt auf den religiösen Glauben ab, aber es wird weder explizit nach dem subjektiven Krankheits- oder Heilungsvorstellungen der Patient:in gefragt, noch wird ein bestehendes Erklärungsmodell reflektiert oder validiert. Es fehlen zentrale Elemente wie die Exploration der Heilvorstellungen (z. B. 'Was glauben Sie, könnte Ihnen helfen?'), die Klärung von Erwartungen an die Therapie oder die Validierung der Sichtweise der Patient:in. Die Formulierung ist allgemein und nicht an die spezifische Erklärung der Patient:in angepasst, was auf eine mangelhafte Exploration des subjektiven Krankheits- und Heilungsvorstellungsmodells hindeutet.",,1,1.129,2026-07-14T18:24:12
AU01.001247,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.0,2,"Die Frage 'Erzählen Sie mir ein bisschen mehr darüber, was Sie erleben, wenn Sie so einsam sind. Wie geht es Ihnen dann?' ist eine offene, explorative Frage, die das subjektive Erleben anspricht. Sie zeigt eine grundlegende Offenheit für die Patient:in und eröffnet Raum für die Schilderung von Symptomen und Erlebensweisen. Allerdings wird das subjektive Krankheits- oder Heilungsvorstellungsmodell der Patient:in nicht explizit erfragt. Es fehlen spezifische Fragen nach der persönlichen Erklärung der Beschwerden (z. B. 'Wie erklären Sie sich Ihre Einsamkeit?'), Heilvorstellungen (z. B. 'Was glauben Sie, könnte Ihnen helfen?') oder Erwartungen an die Therapie. Die Reaktion ist angemessen und verständlich, erfüllt aber nur die grundlegende Aufgabe der Exploration des Erlebens, nicht die explizite Exploration des subjektiven Krankheits- und Heilungsvorstellungsmodells, wie es für eine Bewertung von 4 erforderlich wäre. Daher wird eine Bewertung von 2 vergeben, da die Aufgabenstellung erfüllt ist, aber nicht über das Mindestmaß hinausgeht.",,1,1.514,2026-07-14T18:24:13
