id,dimension,rater_one,rater_two,rater_three,average_score,ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you_total,you_sing,you_plur,you_formal,other,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
AU01.000968,d1_illness_beliefs,1,4,2,2.333,text,"Ich kann Ihren Frust gut verstehen. Man muss ständig so viel wiederholen und es auch schon so vielen Menschen erzählen. Können Sie sich vorstellen, warum Sie das so frustriert, dass Sie es nochmal erklären müssen?",1,35,1,98.896,1,17.388,11.667,25.714,94.286,57.143,28.571,17.143,2.857,0,0,0,0,0,11.429,11.429,11.429,8.571,2.857,0,5.714,5.714,22.857,0,20,8.571,0,2.857,0,5.714,5.714,2.857,2.857,0,2.857,2.857,34.286,0,0,0,0,22.857,8.571,2.857,2.857,2.857,5.714,0,0,0,0,0,0,0,0,0,0,2.857,0,2.857,0,0,0,0,5.714,0,11.429,0,0,11.429,0,0,0,0,0,0,5.714,0,0,0,0,0,14.286,5.714,5.714,0,0,2.857,0,0,0,0,0,0,0
AU01.000969,d1_illness_beliefs,2,2,2,2.0,text,"Wenn ich mich so in ihre Lage versetze, kann ich mir vorstellen, dass es auch relativ anstrengend ist, immer und immer wieder mehr ins Detail zu gehen und noch mehr zu erzählen. Allerdings bin ich nur die Spezialistin, die das Fachwissen hat. Sie sind der Spezialist von Ihnen und nur Sie können bestimmte Fragen über Sie beantworten.",1,57,6.7,47.923,79.903,61.96,19,19.298,94.737,66.667,21.053,17.544,8.772,0,0,0,0,0,8.772,7.018,8.772,1.754,7.018,10.526,10.526,7.018,15.789,0,14.035,7.018,3.509,0,0,3.509,5.263,3.509,1.754,0,0,0,15.789,0,0,0,0,21.053,1.754,0,3.509,5.263,5.263,5.263,1.754,1.754,0,0,1.754,0,0,0,0,3.509,0,3.509,0,0,0,0,8.772,0,21.053,1.754,12.281,7.018,1.754,0,0,0,0,0,0,0,0,0,0,0,12.281,5.263,7.018,0,0,0,0,0,0,0,0,0,0
AU01.001015,d1_illness_beliefs,2,2,2,2.0,text,"Ja, genau, das stimmt. Ich bin schon der Spezialist. Nur ist es so, dass ich einfach ein paar mehr Informationen von Ihnen brauche, weil es einfach eben sehr viele verschiedene Krankheiten und verschiedene Krankheitsbilder gibt und um Ihnen da einfach bestmöglich helfen zu können. Es ist einfach sehr wichtig, dass ich genug Informationen kriege, damit wir dann daraus irgendwie zusammenschauen können, was wir vielleicht für eine Krankheit haben und wo wir dann dann am besten ansetzen, um zu schauen, dass es Ihnen so schnell wie möglich auch wieder besser geht.",1,90,1.741,89.632,30.36,98.572,22.5,24.444,96.667,64.444,16.667,10,3.333,3.333,0,0,0,0,3.333,0,3.333,5.556,5.556,10,5.556,13.333,22.222,0,13.333,16.667,6.667,3.333,4.444,10,6.667,5.556,1.111,0,0,0,17.778,0,1.111,0,0,18.889,2.222,4.444,1.111,4.444,2.222,2.222,1.111,1.111,0,0,6.667,0,3.333,0,0,12.222,3.333,5.556,2.222,2.222,1.111,0,8.889,0,13.333,2.222,5.556,6.667,0,1.111,0,0,0,1.111,4.444,0,0,2.222,0,0,14.444,4.444,10,0,0,0,0,0,0,0,0,0,0
AU01.001017,d1_illness_beliefs,2,2,2,2.0,text,"Genau. Also sagen, ich bin Experte, aber natürlich kann ich nicht ganz einfach in sie reinschauen. Und was bei mir auf jeden Fall einkommt, dass sie krank sind und dass sie da auf jeden Fall drunter auch ganz klar leiden. Und ich glaube aber, dass ich einfach noch ein paar mehr Informationen von ihnen bräuchte, damit wir zusammen rausfinden können bzw. damit ich einfach schauen kann, okay, welche Form von Krankheit ist es, die sie da haben? Und damit ich dann eben auch schauen kann, was wäre die beste Herangehensweise, damit ich ihnen auch wirklich irgendwie so gut es geht helfen kann und unterstützen kann. Und einfach um noch dafür ein paar mehr Informationen zu kriegen, würde ich ihnen gerne einfach noch ein paar mehr Fragen dazustellen.",1,127,1,60.754,82.541,76.865,18.143,18.898,95.276,68.504,18.898,13.386,7.087,0.787,0,0,0,0,5.512,3.15,5.512,5.512,3.937,10.236,10.236,14.961,21.26,0.787,14.961,11.811,3.15,2.362,3.937,11.811,8.661,5.512,3.15,0,0,2.362,17.323,0,2.362,0,0,25.984,3.15,2.362,3.15,5.512,6.299,4.724,3.15,1.575,0.787,0.787,4.724,0.787,2.362,0,0,6.299,1.575,2.362,0.787,0.787,1.575,0,7.087,0,18.11,2.362,11.024,4.724,0,1.575,0,0,0.787,0,4.724,0,0.787,1.575,0,0,14.173,4.724,8.661,0,0,0.787,0,0,0,0,0,0,0
AU01.001067,d1_illness_beliefs,4,3,3,3.333,text,"Ja, ich verstehe, dass Sie ein bisschen genervt sind davon, dass ich so neugierig nachfrage und ich scheinbar auch nicht gut erklärt habe, weshalb ich eigentlich diese ganzen Fragen stelle. Mir ist es total wichtig, dass ich genau verstehe, worum es bei Ihnen geht. Zum einen habe ich natürlich Wissen über bestimmte psychische Störungen, die unterscheiden sich aber von Person zu Person. Mir ist es total wichtig, wie genau Ihr Problem eigentlich aussieht und beziehungsweise auch, wie Sie das bisher verstehen, weil ich gerne erreichen würde, dass wir zusammen ein gemeinsames Verständnis hätten. Also vielleicht, wenn das für Sie in Ordnung ist, könnten Sie noch einmal mir erklären, wie Sie sagen würden, was eigentlich mit Ihnen los ist.",1,118,1,60.667,46.864,99,23.6,26.271,97.458,61.864,23.729,16.949,8.475,0.847,0.847,0,0.847,0,6.78,5.085,6.78,5.085,5.085,7.627,11.017,5.932,16.949,0.847,19.492,8.475,2.542,5.085,0,2.542,7.627,6.78,0.847,0,0,0,21.186,0,0,0,0,33.898,6.78,5.085,6.78,10.169,7.627,6.78,2.542,1.695,0.847,0,5.085,0,0.847,0,0,9.322,2.542,4.237,1.695,0.847,0.847,1.695,11.017,0,11.864,3.39,6.78,2.542,3.39,0,0,0,0,0,9.322,0,0,2.542,0,0,16.949,4.237,12.712,0,0,0,0,0,0,0,0,0,0
AU01.001068,d1_illness_beliefs,3,4,3,3.333,text,"Okay, ich merke, dass Sie irritiert sind durch das, was ich gerade gesagt habe, weil Sie, glaube ich, den Eindruck hatten, ich würde Ihnen da was einreden wollen zu dieser Beziehung. Vielleicht können Sie mir noch mal genauer schildern, was das so besonders belastend macht, also was dieses Gefühl von Einsamkeit besonders belastend macht.",1,54,1,52.089,20.301,95.376,27,22.222,94.444,68.519,31.481,16.667,9.259,0,0,0,0,0,7.407,5.556,7.407,11.111,5.556,5.556,9.259,11.111,14.815,0,18.519,5.556,0,7.407,0,0,14.815,9.259,5.556,0,0,5.556,12.963,0,0,0,0,31.481,9.259,11.111,7.407,7.407,0,1.852,3.704,0,1.852,1.852,0,0,0,0,0,7.407,1.852,5.556,3.704,0,0,3.704,9.259,1.852,11.111,0,9.259,3.704,0,0,0,3.704,1.852,0,9.259,0,1.852,1.852,0,0,20.37,3.704,16.667,0,0,0,0,0,0,0,0,0,0
AU01.001069,d1_illness_beliefs,3,4,4,3.667,text,"Okay, das heißt, Sie haben so diesen klaren zeitlichen Zusammenhang für sich gefunden, dass der Kontaktabbruch zu der Familie zu tun hat, damit dass es Ihnen so deutlich schlechter geht. Vielleicht können wir da nochmal genauer drauf eingehen. Was ist so Ihre Idee? Wie genau hat denn, was genau ist dann passiert mit Ihnen nach dem Kontaktabbruch, sodass Sie dann jetzt diese Symptome haben?",1,64,1,94.51,3.736,99,16,21.875,93.75,68.75,20.313,10.938,0,1.563,0,0,0,0,7.813,4.688,7.813,7.813,6.25,9.375,14.063,6.25,21.875,0,20.313,4.688,1.563,4.688,0,0,7.813,6.25,1.563,0,0,1.563,17.188,1.563,0,0,0,17.188,6.25,3.125,0,1.563,6.25,0,0,0,0,0,4.688,1.563,0,0,0,6.25,3.125,3.125,0,0,0,1.563,10.938,0,12.5,1.563,6.25,4.688,0,1.563,1.563,0,0,0,7.813,0,1.563,4.688,0,0,15.625,3.125,9.375,0,0,3.125,0,0,0,0,0,0,0
AU01.001103,d1_illness_beliefs,1,4,2,2.333,text,"Also ich verstehe, dass Sie meinen, dass Menschen Ihnen bei Ihren Problemen jetzt nicht helfen können, sondern dass Hilfe von Gott kommt oder kommen sollte. Ist das schon immer so bei Ihnen gewesen oder gab es einen bestimmten Zeitpunkt in Ihrem Leben, wo Sie beschlossen haben, sich nur noch auf Gott zu verlassen?",1,53,1,72.994,99,1,26.5,16.981,100,66.038,22.642,16.981,3.774,0,0,0,0,0,11.321,7.547,11.321,3.774,3.774,11.321,9.434,7.547,18.868,1.887,24.528,3.774,3.774,1.887,0,0,3.774,0,3.774,0,0,1.887,24.528,0,0,0,0,24.528,5.66,1.887,3.774,3.774,5.66,7.547,0,0,0,0,3.774,0,1.887,0,0,7.547,1.887,3.774,1.887,0,1.887,7.547,7.547,0,28.302,5.66,13.208,9.434,0,0,0,0,3.774,0,1.887,0,0,0,0,0,13.208,1.887,9.434,0,0,1.887,0,0,0,0,0,0,0
AU01.001104,d1_illness_beliefs,3,3,2,2.667,text,"Also seit ihrer Trennung von der Familie mehren sich einfach die Anzeichen, dass sie gesundheitliche Probleme haben, Probleme im beruflichen Umfeld und würden dieser Sache gern durch mich auf den Grund gehen. In der Zusammenarbeit habe ich das richtig zusammengefasst? Ja.",1,41,85.992,73.38,1.518,1,13.667,26.829,90.244,60.976,17.073,12.195,4.878,0,0,0,0,0,4.878,4.878,4.878,2.439,12.195,14.634,9.756,4.878,9.756,0,9.756,2.439,0,0,2.439,2.439,9.756,2.439,7.317,0,0,2.439,12.195,2.439,0,0,0,17.073,2.439,4.878,7.317,2.439,2.439,0,0,0,0,0,2.439,0,2.439,0,0,9.756,4.878,0,0,0,4.878,0,2.439,0,17.073,2.439,12.195,2.439,2.439,2.439,2.439,0,0,0,4.878,0,0,4.878,0,0,12.195,4.878,4.878,0,0,2.439,0,0,0,0,0,0,0
AU01.001105,d1_illness_beliefs,1,3,2,2.0,text,"Das heißt, die Einsamkeit empfinden Sie als belastender als die Situation, als Sie noch in der Beziehung selber gewesen sind. War das auch so zu dem Zeitpunkt, als die Trennung stattgefunden hat?",1,32,31.313,41.236,99,1,16,28.125,96.875,68.75,12.5,6.25,0,0,0,0,0,0,6.25,6.25,6.25,0,21.875,18.75,12.5,15.625,28.125,0,18.75,12.5,12.5,0,0,0,9.375,0,9.375,0,0,9.375,15.625,0,0,0,0,18.75,3.125,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,3.125,3.125,0,0,0,0,9.375,9.375,0,28.125,0,6.25,21.875,0,0,0,0,0,0,0,0,0,0,0,0,15.625,3.125,9.375,0,0,3.125,0,0,0,0,0,0,0
AU01.001120,d1_illness_beliefs,2,3,3,2.667,text,"Bisher habe ich noch nicht so viel von Ihnen dazu gehört, was es genau für Sie heißt, dass Sie krank sind. Um das besser verstehen zu können, erzählen Sie mir doch bitte gerne noch etwas genauer, was es für Sie heißt, krank zu sein.",1,44,1,85.442,18.318,98.835,22,6.818,97.727,68.182,31.818,18.182,4.545,0,0,0,0,0,13.636,11.364,11.364,11.364,2.273,13.636,9.091,13.636,15.909,2.273,27.273,9.091,2.273,4.545,0,4.545,13.636,9.091,4.545,0,0,0,31.818,0,0,0,0,18.182,2.273,0,0,4.545,4.545,6.818,0,0,0,0,4.545,0,4.545,0,0,4.545,0,4.545,0,2.273,0,2.273,11.364,0,15.909,0,6.818,9.091,0,0,0,0,0,0,9.091,0,0,2.273,0,0,15.909,4.545,11.364,0,0,0,0,0,0,0,0,0,0
AU01.001121,d1_illness_beliefs,1,2,1,1.333,text,"Ich verstehe gut, dass sie das sehr beschäftigt, dass sie ihre Eltern ohne Geld zurückgelassen haben, aber ich glaube auch, dass es für ihre Eltern sehr wichtig war, das Geld aufzubringen, damit sie flüchten und sich ein neues Leben aufbauen können, ein besseres Leben als das, was sie in ihrem Herkunftsland gehabt haben.",1,53,1,78.868,1,99,53,16.981,96.226,64.151,28.302,18.868,3.774,0,0,0,0,0,13.208,13.208,13.208,3.774,9.434,9.434,7.547,7.547,22.642,1.887,11.321,9.434,3.774,1.887,0,3.774,5.66,5.66,0,0,0,0,24.528,3.774,0,0,0,13.208,3.774,1.887,1.887,1.887,1.887,5.66,0,0,0,0,3.774,0,3.774,0,0,11.321,3.774,5.66,1.887,1.887,0,3.774,1.887,0,11.321,3.774,1.887,5.66,3.774,0,0,3.774,1.887,0,5.66,0,0,0,0,0,16.981,1.887,15.094,0,0,0,0,0,0,0,0,0,0
AU01.001122,d1_illness_beliefs,2,2,2,2.0,text,"Ich möchte gerne versuchen, Sie dabei zu unterstützen, Ihre Panikattacken loszuwerden. Dafür ist es aber wichtig, dass wir beide besser verstehen, wann diese Panikattacken auftreten und welche Gedanken Sie in diesen Momenten haben.",1,33,7.449,92.066,6.036,99,16.5,30.303,96.97,54.545,27.273,15.152,3.03,3.03,0,0,0,0,9.091,9.091,9.091,12.121,0,12.121,6.061,6.061,9.091,0,21.212,6.061,3.03,6.061,0,3.03,18.182,12.121,6.061,6.061,0,0,21.212,0,0,0,0,21.212,6.061,0,3.03,6.061,6.061,3.03,3.03,0,0,0,3.03,0,0,0,0,18.182,3.03,12.121,3.03,3.03,0,0,3.03,0,15.152,3.03,6.061,6.061,3.03,0,0,0,0,0,3.03,0,0,0,0,0,18.182,6.061,12.121,0,0,0,0,0,0,0,0,0,0
AU01.001130,d1_illness_beliefs,2,4,3,3.0,text,"Ich verstehe, dass Sie Zweifel gegenüber der Psychotherapie haben. Das ist ja auch erstmal eine ganz neue Situation für Sie und es ist bestimmt sehr, sehr ungewohnt jetzt für Sie hier zu sein. Was meinen Sie denn genau mit Strafe? Wofür möchte Sie Gott bestrafen?",1,45,1,85.081,1,1,11.25,20,97.778,68.889,24.444,17.778,4.444,0,0,0,0,0,13.333,13.333,11.111,4.444,6.667,11.111,11.111,13.333,13.333,0,15.556,4.444,0,4.444,0,6.667,8.889,2.222,6.667,2.222,4.444,2.222,17.778,0,0,0,0,20,4.444,2.222,2.222,8.889,4.444,0,0,0,0,0,4.444,0,0,0,0,4.444,0,0,0,0,2.222,0,8.889,0,17.778,0,8.889,8.889,4.444,0,0,0,2.222,0,8.889,0,0,4.444,0,0,13.333,4.444,4.444,0,0,4.444,0,0,0,0,0,0,0
AU01.001132,d1_illness_beliefs,2,2,2,2.0,text,"Ich verstehe, dass es Ihnen schwerfällt, über Ihr Problem zu sprechen. Trotzdem ist es für mich ganz ganz wichtig, Sie ganz genau in Ihrer Thematik zu verstehen, damit ich Ihnen auch helfen kann und damit wir gemeinsam daran arbeiten können.",1,40,1,97.483,30.36,79.727,20,25,95,70,27.5,22.5,7.5,2.5,2.5,0,2.5,0,12.5,7.5,12.5,5,0,17.5,5,17.5,15,0,20,12.5,0,0,0,7.5,7.5,5,2.5,0,0,0,32.5,0,0,0,0,27.5,5,0,5,7.5,5,2.5,0,0,0,0,2.5,0,0,0,0,15,5,5,2.5,0,2.5,0,7.5,0,17.5,0,17.5,0,2.5,0,0,0,0,0,7.5,0,0,2.5,0,0,15,5,10,0,0,0,0,0,0,0,0,0,0
AU01.001133,d1_illness_beliefs,1,1,0,0.667,text,"Das klingt für mich nach ziemlich belastenden Gedanken und ich kann verstehen, dass sie das von Schlafen abhält. Haben sie Schuldgefühle gegenüber ihren Eltern?",1,24,27.16,80.338,10.987,1,12,29.167,91.667,62.5,29.167,20.833,8.333,0,0,0,0,0,12.5,12.5,12.5,0,8.333,16.667,8.333,0,16.667,0,20.833,0,0,0,0,0,4.167,0,4.167,0,0,4.167,20.833,4.167,0,0,0,16.667,8.333,0,0,4.167,0,0,4.167,0,4.167,0,4.167,4.167,0,0,0,4.167,4.167,0,0,0,0,0,8.333,0,12.5,0,12.5,0,0,4.167,0,0,0,0,4.167,0,0,0,0,0,12.5,4.167,4.167,0,0,4.167,0,0,0,0,0,0,0
AU01.001159,d1_illness_beliefs,1,1,1,1.0,text,"Mich würde interessieren, was sie genau unter Panikattacken verstehen.",1,9,13.736,74.835,1,99,9,33.333,100,55.556,33.333,22.222,11.111,0,0,0,0,0,11.111,11.111,11.111,11.111,0,11.111,11.111,0,0,0,33.333,0,0,11.111,0,0,44.444,33.333,11.111,11.111,0,0,22.222,0,0,0,0,33.333,11.111,0,11.111,11.111,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111,0,11.111,0,0,0,0,0,0,0,33.333,0,0,11.111,0,0,22.222,11.111,11.111,0,0,0,0,0,0,0,0,0,0
AU01.001160,d1_illness_beliefs,0,2,3,1.667,text,"Das klingt, als hätten sie eine sehr große Skepsis der Psychotherapie gegenüber. Was sind denn genau ihre Befürchtungen?",1,18,13.736,68.587,1,99,9,22.222,88.889,66.667,22.222,11.111,0,0,0,0,0,0,11.111,11.111,11.111,5.556,16.667,11.111,11.111,11.111,16.667,0,16.667,11.111,5.556,5.556,0,5.556,11.111,11.111,0,0,0,0,11.111,0,0,0,0,16.667,0,0,5.556,0,5.556,5.556,5.556,0,5.556,0,0,0,0,0,0,5.556,0,0,5.556,0,0,0,11.111,0,16.667,0,11.111,5.556,5.556,0,0,0,0,0,11.111,0,0,5.556,0,0,16.667,5.556,5.556,0,0,5.556,0,0,0,0,0,0,0
AU01.001200,d1_illness_beliefs,2,1,0,1.0,text,"Ich habe verstanden, dass die Einsamkeit sich für Sie gerade belastender anfühlt, als es die Beziehung war. Möchten Sie mir vielleicht trotzdem erzählen, was das Toxische an der Beziehung war?",1,30,3.112,77.111,57.918,1,15,36.667,96.667,70,26.667,16.667,6.667,0,0,0,0,0,6.667,6.667,6.667,6.667,13.333,10,10,13.333,13.333,0,20,6.667,3.333,3.333,0,0,10,3.333,6.667,0,0,6.667,26.667,0,0,0,0,23.333,10,0,3.333,6.667,0,6.667,0,0,0,0,3.333,0,3.333,0,0,10,6.667,0,0,0,3.333,10,6.667,0,10,0,6.667,6.667,0,0,0,0,0,0,6.667,0,0,0,0,0,16.667,3.333,10,0,0,3.333,0,0,0,0,0,0,0
