id,dimension,text,rater_one,rater_two,rater_three,average_score,ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
AU01.000968,d1_illness_beliefs,"Ich kann Ihren Frust gut verstehen. Man muss ständig so viel wiederholen und es auch schon so vielen Menschen erzählen. Können Sie sich vorstellen, warum Sie das so frustriert, dass Sie es nochmal erklären müssen?",1,4,2,2.333,text_en,I can understand your frustration. You have to repeat so much all the time and tell so many people. Can you imagine why this frustrates you so much that you have to explain it again?,1,35,1,99,24.316,1,11.667,14.286,100,77.143,68.571,25.714,17.143,2.857,0,14.286,0,0,8.571,22.857,2.857,0,5.714,11.429,14.286,11.429,0,20,8.571,11.429,0,0,0,0,28.571,2.857,17.143,8.571,2.857,5.714,0,0,0,0,5.714,0,5.714,5.714,0,5.714,0,5.714,0,0,22.857,5.714,0,0,0,0,5.714,17.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.429,0,0,0,0,0,0,0,0,5.714,0,0,0,0,0,0,0,8.571,0,5.714,11.429,0,0,0,0,0,8.571,5.714,0,2.857,0,0,0,0
AU01.000969,d1_illness_beliefs,"Wenn ich mich so in ihre Lage versetze, kann ich mir vorstellen, dass es auch relativ anstrengend ist, immer und immer wieder mehr ins Detail zu gehen und noch mehr zu erzählen. Allerdings bin ich nur die Spezialistin, die das Fachwissen hat. Sie sind der Spezialist von Ihnen und nur Sie können bestimmte Fragen über Sie beantworten.",2,2,2,2.0,text_en,"If I put myself in their shoes, I can imagine that it is relatively tiring to go into more detail and tell more over and over again. However, I am only the specialist who has the specialist knowledge. You are the specialist of you and only you can answer certain questions about you.",1,53,7.192,72.599,99,5.022,17.667,16.981,92.453,83.019,73.585,22.642,18.868,7.547,0,7.547,0,1.887,3.774,13.208,5.66,0,13.208,11.321,11.321,9.434,0,16.981,11.321,3.774,0,0,0,0,28.302,0,18.868,7.547,0,3.774,3.774,0,5.66,0,1.887,0,1.887,1.887,0,1.887,0,0,0,0,15.094,3.774,0,0,0,0,3.774,11.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.887,1.887,0,0,0,0,0,0,0,0,0,0,0,0,1.887,0,0,0,1.887,11.321,0,3.774,9.434,0,0,0,1.887,0,11.321,0,0,0,0,0,0,9.434,5.66,3.774,0,0,0,0,0
AU01.001015,d1_illness_beliefs,"Ja, genau, das stimmt. Ich bin schon der Spezialist. Nur ist es so, dass ich einfach ein paar mehr Informationen von Ihnen brauche, weil es einfach eben sehr viele verschiedene Krankheiten und verschiedene Krankheitsbilder gibt und um Ihnen da einfach bestmöglich helfen zu können. Es ist einfach sehr wichtig, dass ich genug Informationen kriege, damit wir dann daraus irgendwie zusammenschauen können, was wir vielleicht für eine Krankheit haben und wo wir dann dann am besten ansetzen, um zu schauen, dass es Ihnen so schnell wie möglich auch wieder besser geht.",2,2,2,2.0,text_en,"Yes, exactly, that's right. I'm already the specialist. It's just that I just need a little more information from you, because there are so many different diseases and different clinical pictures and so that I can help you as best as possible. It is simply very important that I get enough information so that we can then sort of put together what kind of illness we might have and where we can best start to make sure that you get better again as quickly as possible.",1,86,1,73.37,29.271,56.525,21.5,19.767,97.674,83.721,63.953,22.093,11.628,4.651,3.488,3.488,0,0,10.465,12.791,2.326,0,9.302,11.628,13.953,13.953,0,18.605,15.116,4.651,9.302,5.814,3.488,0,30.233,1.163,19.767,2.326,1.163,4.651,5.814,2.326,3.488,0,4.651,3.488,1.163,1.163,0,0,0,0,0,0,8.14,1.163,1.163,0,0,0,0,6.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.488,3.488,2.326,0,0,0,0,0,0,1.163,0,2.326,0,1.163,0,0,0,0,11.628,5.814,2.326,1.163,2.326,0,0,0,5.814,1.163,9.302,3.488,1.163,0,1.163,0,0,11.628,4.651,3.488,0,0,3.488,0,0
AU01.001017,d1_illness_beliefs,"Genau. Also sagen, ich bin Experte, aber natürlich kann ich nicht ganz einfach in sie reinschauen. Und was bei mir auf jeden Fall einkommt, dass sie krank sind und dass sie da auf jeden Fall drunter auch ganz klar leiden. Und ich glaube aber, dass ich einfach noch ein paar mehr Informationen von ihnen bräuchte, damit wir zusammen rausfinden können bzw. damit ich einfach schauen kann, okay, welche Form von Krankheit ist es, die sie da haben? Und damit ich dann eben auch schauen kann, was wäre die beste Herangehensweise, damit ich ihnen auch wirklich irgendwie so gut es geht helfen kann und unterstützen kann. Und einfach um noch dafür ein paar mehr Informationen zu kriegen, würde ich ihnen gerne einfach noch ein paar mehr Fragen dazustellen.",2,2,2,2.0,text_en,"Exactly. So say I'm an expert, but of course I can't just look into them. And what definitely occurs to me is that they are sick and that they are definitely suffering because of it. And I think that I just need a little more information from you so that we can find out together or so that I can just see, okay, what type of illness is it that you have? And so that I can then see what would be the best approach so that I can really help and support them as best as possible. And just to get a little more information, I would like to ask you a few more questions about it.",1,118,1,35.217,7.466,31.929,19.667,11.017,98.305,88.983,73.729,26.271,14.407,7.627,0.847,2.542,0,3.39,11.864,14.407,4.237,0,10.169,11.864,11.017,14.407,0.847,21.186,9.322,5.085,5.085,2.542,2.542,0.847,25.424,0,20.339,4.237,0.847,7.627,2.542,5.085,2.542,0,5.932,3.39,2.542,4.237,1.695,1.695,0,0,0,0,10.169,3.39,1.695,0,0,0,1.695,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.695,1.695,1.695,0,0,0,0,0,0,0.847,0,0.847,0,0,0,0,0,0,9.322,5.932,0.847,0.847,1.695,2.542,0,0,0.847,0,8.475,0,0.847,0,0.847,0,0,10.169,4.237,3.39,0.847,0,1.695,0,0
AU01.001067,d1_illness_beliefs,"Ja, ich verstehe, dass Sie ein bisschen genervt sind davon, dass ich so neugierig nachfrage und ich scheinbar auch nicht gut erklärt habe, weshalb ich eigentlich diese ganzen Fragen stelle. Mir ist es total wichtig, dass ich genau verstehe, worum es bei Ihnen geht. Zum einen habe ich natürlich Wissen über bestimmte psychische Störungen, die unterscheiden sich aber von Person zu Person. Mir ist es total wichtig, wie genau Ihr Problem eigentlich aussieht und beziehungsweise auch, wie Sie das bisher verstehen, weil ich gerne erreichen würde, dass wir zusammen ein gemeinsames Verständnis hätten. Also vielleicht, wenn das für Sie in Ordnung ist, könnten Sie noch einmal mir erklären, wie Sie sagen würden, was eigentlich mit Ihnen los ist.",4,3,3,3.333,text_en,"Yes, I understand that you are a bit annoyed that I ask so curiously and that I don't seem to have explained well why I'm actually asking all these questions. It's really important to me that I understand exactly what you're talking about. On the one hand, I of course have knowledge about certain mental disorders, but they differ from person to person. It's really important to me what exactly your problem actually looks like and also how you understand it so far, because I would like to ensure that we have a common understanding together. So maybe, if that's okay with you, could you explain to me again how you would say what's actually going on with you.",1,119,1.05,73.713,64.507,72.849,23.8,19.328,100,86.555,67.227,27.731,16.807,8.403,0.84,6.723,0,0.84,10.924,10.084,2.521,0,12.605,11.765,14.286,7.563,0.84,23.529,5.882,1.681,1.681,1.681,0,0,39.496,3.361,27.731,10.084,3.361,3.361,3.361,7.563,2.521,0,5.042,4.202,0.84,2.521,1.681,0.84,0,0.84,0,0,15.966,5.882,0,0,0.84,0,4.202,10.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.681,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,5.042,3.361,0.84,0.84,0.84,0.84,0,0,0.84,0.84,7.563,0.84,1.681,0,1.681,0,0,15.126,4.202,5.042,0,0,5.882,0,0
AU01.001068,d1_illness_beliefs,"Okay, ich merke, dass Sie irritiert sind durch das, was ich gerade gesagt habe, weil Sie, glaube ich, den Eindruck hatten, ich würde Ihnen da was einreden wollen zu dieser Beziehung. Vielleicht können Sie mir noch mal genauer schildern, was das so besonders belastend macht, also was dieses Gefühl von Einsamkeit besonders belastend macht.",3,4,3,3.333,text_en,"Okay, I notice that you are irritated by what I just said because I think you had the impression that I was trying to convince you about this relationship. Maybe you can describe to me in more detail what makes this particularly stressful, i.e. what makes this feeling of loneliness particularly stressful.",1,52,4.854,81.783,30.984,1,26,23.077,100,82.692,65.385,32.692,17.308,9.615,0,7.692,0,0,15.385,13.462,1.923,0,11.538,7.692,9.615,1.923,0,19.231,7.692,1.923,3.846,1.923,1.923,0,30.769,0,23.077,7.692,5.769,3.846,1.923,0,0,0,7.692,0,7.692,7.692,0,7.692,3.846,1.923,1.923,0,17.308,7.692,0,0,0,0,3.846,9.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923,5.769,1.923,0,1.923,0,0,1.923,0,5.769,7.692,0,1.923,0,1.923,0,0,11.538,7.692,3.846,0,0,0,0,0
AU01.001069,d1_illness_beliefs,"Okay, das heißt, Sie haben so diesen klaren zeitlichen Zusammenhang für sich gefunden, dass der Kontaktabbruch zu der Familie zu tun hat, damit dass es Ihnen so deutlich schlechter geht. Vielleicht können wir da nochmal genauer drauf eingehen. Was ist so Ihre Idee? Wie genau hat denn, was genau ist dann passiert mit Ihnen nach dem Kontaktabbruch, sodass Sie dann jetzt diese Symptome haben?",3,4,4,3.667,text_en,"Okay, that means you have found this clear temporal connection for yourself that the loss of contact with the family has something to do with the fact that you are feeling so much worse. Maybe we can go into this in more detail. What is your idea? How exactly did, what exactly happened to you after you broke off contact so that you now have these symptoms?",1,67,13.113,99,48.479,1,16.75,16.418,95.522,80.597,68.657,26.866,11.94,0,1.493,10.448,0,0,14.925,19.403,4.478,0,14.925,11.94,7.463,4.478,0,19.403,8.955,2.985,2.985,2.985,0,0,28.358,0,16.418,7.463,1.493,1.493,2.985,2.985,0,0,4.478,0,4.478,0,0,0,0,0,0,0,14.925,0,0,0,0,0,0,13.433,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,1.493,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.493,0,8.955,7.463,0,1.493,5.97,0,0,1.493,4.478,5.97,8.955,0,1.493,0,1.493,0,0,8.955,2.985,2.985,2.985,0,0,0,0
AU01.001103,d1_illness_beliefs,"Also ich verstehe, dass Sie meinen, dass Menschen Ihnen bei Ihren Problemen jetzt nicht helfen können, sondern dass Hilfe von Gott kommt oder kommen sollte. Ist das schon immer so bei Ihnen gewesen oder gab es einen bestimmten Zeitpunkt in Ihrem Leben, wo Sie beschlossen haben, sich nur noch auf Gott zu verlassen?",1,4,2,2.333,text_en,"So I understand that you think that people cannot help you with your problems now, but that help comes or should come from God. Has it always been this way for you or was there a certain point in your life when you decided to rely only on God?",1,49,1.653,97.11,99,82.063,24.5,8.163,95.918,79.592,67.347,24.49,14.286,2.041,0,12.245,0,0,10.204,14.286,2.041,0,12.245,10.204,12.245,10.204,2.041,20.408,4.082,0,4.082,4.082,0,0,30.612,2.041,18.367,6.122,0,4.082,4.082,0,8.163,0,4.082,4.082,0,0,0,0,0,0,0,0,20.408,4.082,4.082,0,0,0,0,14.286,0,0,0,0,0,0,0,0,4.082,0,0,0,0,4.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.163,10.204,0,4.082,10.204,0,0,0,6.122,6.122,8.163,0,0,0,0,0,0,6.122,2.041,2.041,2.041,0,0,0,0
AU01.001104,d1_illness_beliefs,"Also seit ihrer Trennung von der Familie mehren sich einfach die Anzeichen, dass sie gesundheitliche Probleme haben, Probleme im beruflichen Umfeld und würden dieser Sache gern durch mich auf den Grund gehen. In der Zusammenarbeit habe ich das richtig zusammengefasst? Ja.",3,3,2,2.667,text_en,"Since their separation from the family, there have been increasing signs that they have health problems, problems in their professional environment and would like me to get to the bottom of this matter. In the collaboration, did I summarize that correctly? Yes.",1,42,56.857,54.272,56.694,88.66,14,21.429,92.857,69.048,59.524,19.048,11.905,4.762,0,0,0,7.143,7.143,19.048,7.143,0,16.667,11.905,2.381,4.762,0,14.286,2.381,2.381,4.762,4.762,0,0,23.81,2.381,16.667,0,2.381,4.762,0,0,2.381,0,4.762,4.762,0,4.762,4.762,0,0,0,0,0,11.905,2.381,2.381,0,0,0,0,9.524,2.381,0,0,0,0,0,0,0,4.762,0,0,4.762,0,0,2.381,2.381,0,0,0,0,0,0,0,0,0,2.381,0,0,0,0,0,0,11.905,14.286,0,0,14.286,0,0,0,2.381,4.762,0,0,2.381,0,2.381,0,0,14.286,4.762,7.143,2.381,0,0,0,0
AU01.001105,d1_illness_beliefs,"Das heißt, die Einsamkeit empfinden Sie als belastender als die Situation, als Sie noch in der Beziehung selber gewesen sind. War das auch so zu dem Zeitpunkt, als die Trennung stattgefunden hat?",1,3,2,2.0,text_en,This means that you find loneliness more stressful than the situation when you were still in the relationship. Was that also the case when the separation took place?,1,28,11.877,91.33,99,1,14,17.857,96.429,78.571,64.286,17.857,7.143,0,0,7.143,0,0,10.714,28.571,14.286,0,7.143,7.143,14.286,14.286,0,17.857,7.143,3.571,3.571,3.571,0,0,35.714,0,17.857,7.143,0,0,0,0,7.143,0,7.143,0,7.143,7.143,0,7.143,3.571,0,3.571,0,10.714,0,0,0,0,0,0,10.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571,0,0,0,0,0,0,10.714,14.286,0,0,10.714,0,0,0,7.143,10.714,3.571,0,0,0,0,0,0,7.143,3.571,0,3.571,0,0,0,0
AU01.001120,d1_illness_beliefs,"Bisher habe ich noch nicht so viel von Ihnen dazu gehört, was es genau für Sie heißt, dass Sie krank sind. Um das besser verstehen zu können, erzählen Sie mir doch bitte gerne noch etwas genauer, was es für Sie heißt, krank zu sein.",2,3,3,2.667,text_en,"So far I haven't heard much from you about what exactly it means for you that you are sick. In order to understand this better, please tell me in more detail what it means to you to be sick.",1,39,18.868,90.189,81.584,2.696,19.5,5.128,100,89.744,66.667,30.769,15.385,5.128,0,10.256,0,0,15.385,10.256,0,0,20.513,7.692,5.128,2.564,2.564,20.513,15.385,5.128,5.128,0,2.564,2.564,17.949,0,15.385,7.692,0,0,0,2.564,2.564,0,7.692,2.564,5.128,5.128,0,5.128,0,0,0,0,15.385,5.128,2.564,2.564,0,0,2.564,10.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.128,5.128,5.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564,10.256,0,0,7.692,0,2.564,0,0,2.564,7.692,0,0,0,0,0,0,10.256,5.128,2.564,0,0,2.564,0,0
